Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
7500Z,PKD_7500Z,boolean,✓,,,Checkbox (Boolean),,,,,
8610Z,PKD_8610Z,boolean,✓,,,Checkbox (Boolean),,,,,
8621Z,PKD_8621Z,boolean,✓,,,Checkbox (Boolean),,,,,
8622Z,PKD_8622Z,boolean,✓,,,Checkbox (Boolean),,,,,
8623Z,PKD_8623Z,boolean,✓,,,Checkbox (Boolean),,,,,
8690A,PKD_8690A,boolean,✓,,,Checkbox (Boolean),,,,,
8690B,PKD_8690B,boolean,✓,,,Checkbox (Boolean),,,,,
8690C,PKD_8690C,boolean,✓,,,Checkbox (Boolean),,,,,
8690D,PKD_8690D,boolean,✓,,,Checkbox (Boolean),,,,,
8690E,PKD_8690E,boolean,✓,,,Checkbox (Boolean),,,,,
9601Z,PKD_9601Z,boolean,✓,,,Checkbox (Boolean),,,,,
9602Z,PKD_9602Z,boolean,✓,,,Checkbox (Boolean),,,,,
9603Z,PKD_9603Z,boolean,✓,,,Checkbox (Boolean),,,,,
9604Z,PKD_9604Z,boolean,✓,,,Checkbox (Boolean),,,,,
9609Z,PKD_9609Z,boolean,✓,,,Checkbox (Boolean),,,,,
Adres Filii,Adres_Filli,formula,✓,,✓,Formuła,,,,,
Adres Siedziby,Adres_Siedziby,formula,✓,,✓,Formuła,,,,,
Adres rekordu ogółem,Adres_zapisany_z_rodzajem,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Automatyczna numeracja firm,Auto_num,autonumber,✓,,,Autonumer,,,,,
Baza REGON,Baza_REGON,multiselectlookup,✓,,,multiselectlookup,,,,,
Branża - więcej info,Profil_Partnera_wiecej_info,text,✓,,,Tekst,,,255,,
Cecha adresu w rekordzie,Adres_w_rekordzie,picklist,✓,,,Lista wyboru,-None-; Siedziba (Lokalizacja rejestracyjna); Siedziba i Filia (Lokalizacja placówki i rejestracyjna); Filia (Lokalizacja rejestrowa),,,,
Czy Filia?,Filia_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy Siedziba i Filia?,Siedziba_i_Filia_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy Siedziba?,Siedziba_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy maja system EDM?,Czy_maja_system_EDM,boolean,✓,,,Checkbox (Boolean),,,,,
Czy mają system komunikacji z pacjentem?,Czy_maja_system_komunikacji_z_pacjentem,boolean,✓,,,Checkbox (Boolean),,,,,
Czy_jest_nazwa_zwyczajowa,Czy_jest_nazwa_zwyczajowa,formula,✓,,✓,Formuła,,,,,
Dane kontaktowe placówki,Dane_kontaktowe_placowki,multiselectlookup,✓,,,multiselectlookup,,,,,
Data orzeczenia o upadłości,data_orzeczenia_o_upadlosci,date,✓,,,Data,,,,,
Data powstania,data_powstania,date,✓,,,Data,,,,,
Data rozpoczęcia działalności,data_rozpoczecia_dzialalnosci,date,✓,,,Data,,,,,
Data skreślenia z REGON,data_skreslenia_z_REGON,date,✓,,,Data,,,,,
Data skreślenia z rejestru REGON,data_skreslenia_z_rejestru_REGON,text,✓,,,Tekst,,,255,,
Data wpisu do REGON,data_wpisu_do_REGON,date,✓,,,Data,,,,,
Data wpisu do rejestru lub ewidencji,data_wpisu_do_rejestru_lub_ewidencji,date,✓,,,Data,,,,,
Data wznowienia działalności,data_wznowienia_dzia_alno_ci,date,✓,,,Data,,,,,
Data zakończenia działalności,data_zakonczenia_dzialalnosci,date,✓,,,Data,,,,,
Data zawieszenia działalności,data_zawieszenia_dzialalnosci,date,✓,,,Data,,,,,
Dodatkowe info o placowce,Dodatkowe_info_o_placowce,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Dodatkowe info o profilu placówki,Dodatkowe_info_o_profilu_placowki,text,✓,,,Tekst,,,255,,
Dodatkowe informacje odnośnie posiadanych sys IT,Dodatkowe_info_IT,textarea,✓,,,Tekst wielowierszowy,,,32000,,
Domena_z_email1,Domena_z_email1,formula,✓,,✓,Formuła,,,,,
Domena_z_email2,Domena_z_email2,formula,✓,,✓,Formuła,,,,,
Domena_z_email3,Domena_z_email3,formula,✓,,✓,Formuła,,,,,
Domena_z_www,Domena_z_www,formula,✓,,✓,Formuła,,,,,
Email 1,Firma_EMAIL1,email,✓,,,Email,,,,,
Email 2,Firma_EMAIL2,email,✓,,,Email,,,,,
Email 3,Firma_EMAIL3,email,✓,,,Email,,,,,
Email1 - obszar placówki,Medical_service_email_2,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Rejestracja pacjentów; Konsultacje lekarskie; Dyrekcja; Administracja; Zarząd; Wsparcie techniczne; Wyniki badań; Informacja medyczna; Rozliczenia i płatności; Obsługa ubezpieczeń zdrowotnych; Koordynacja badań specjalistycznych; Obsługa skarg i zażaleń; Działania marketingowe,,,,
Email2 - obszar placówki,Medical_service_email_1,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Rejestracja pacjentów; Konsultacje lekarskie; Dyrekcja; Administracja; Zarząd; Wsparcie techniczne; Wyniki badań; Informacja medyczna; Rozliczenia i płatności; Obsługa ubezpieczeń zdrowotnych; Koordynacja badań specjalistycznych; Obsługa skarg i zażaleń; Działania marketingowe,,,,
Email3 - obszar placówki,Medical_service_email_3,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Rejestracja pacjentów; Konsultacje lekarskie; Dyrekcja; Administracja; Zarząd; Wsparcie techniczne; Wyniki badań; Informacja medyczna; Rozliczenia i płatności; Obsługa ubezpieczeń zdrowotnych; Koordynacja badań specjalistycznych; Obsługa skarg i zażaleń; Działania marketingowe,,,,
F rodz. działalności,F_rodzaj_dzialalnosci,boolean,✓,,,Checkbox (Boolean),,,,,
Facebook,Facebook,website,✓,,,URL,,,,,
Filia - Budynek,Shipping_Building_Number,text,✓,,,Tekst,,,255,,
Filia - Gmina,Shipping_Gmina,text,✓,,,Tekst,,,255,,
Filia - Lokal,Shipping_Local_Number,text,✓,,,Tekst,,,255,,
Filia - Nazwa ulicy,Shipping_Street_Name,text,✓,,,Tekst,,,255,,
Filia - Powiat,Shipping_Powiat,text,✓,,,Tekst,,,255,,
Firma polecajaca,Polecenie_firma,lookup,✓,,,Lookup,,Accounts,,,
Firma polecająca Partnera,Firma_polecajaca_Partnera,lookup,✓,,,Lookup,,Accounts,,,
Formula_liczb_firm_pod_rodzicem,Formula_liczb_firm_pod_rodzicem,formula,✓,,✓,Formuła,,,,,
GROUP 1,GROUP_1,lookup,✓,,,Lookup,,GRUPY,,,
GROUP 2,GROUP_2,lookup,✓,,,Lookup,,GRUPY,,,
GROUP 3,GROUP_3,lookup,✓,,,Lookup,,GRUPY,,,
GROUP_1,GROUP_1_tick,boolean,✓,,,Checkbox (Boolean),,,,,
GROUP_2,GROUP_2_tick,boolean,✓,,,Checkbox (Boolean),,,,,
GROUP_3,GROUP_3_tick,boolean,✓,,,Checkbox (Boolean),,,,,
ID Aplikacja,ID_Aplikacja,text,✓,,,Tekst,,,255,,
Instagram,Instagram,website,✓,,,URL,,,,,
KRS,Firma_KRS,text,✓,,,Tekst,,,255,,
Kod i nazwa formy finansowania,Kod_i_nazwa_forma_finansowania,text,✓,,,Tekst,,,255,,
Kod i nazwa formy własności,Kod_i_nazwa_forma_wlasnosci,text,✓,,,Tekst,,,255,,
Kod i nazwa podstawowej formy prawnej,Kod_i_nazwa_podstawowej_formy_prawnej_TEXT,text,✓,,,Tekst,,,255,,
