Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Co można poprawić w procesie umawiania spotkań?,Co_mo_na_poprawi_w_procesie_umawiania_spotka,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Czy Klient rozumiał cel spotkania,Czy_Klient_rozumia_cel_spotkania1,formula,✓,,✓,Formuła,,,,,
Czy Klient rozumiał cel spotkania?,Czy_Klient_rozumia_cel_spotkania,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
Czy firma klienta spełnia kryteria zgodności z ICP,Czy_firma_klienta_spe_nia_kryteria_zgodno_ci_z_ICP,formula,✓,,✓,Formuła,,,,,
Czy firma spełnia kryteria zgodności z ICP?,Czy_firma_spe_nia_kryteria_zgodno_ci_z_ICP1,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
Czy klient posiada budżet,Czy_klient_posiada_bud_et,formula,✓,,✓,Formuła,,,,,
Czy klient posiada budżet na zakup od medidesk?,Czy_klient_posiada_bud_et_na_zakup_od_medidesk1,picklist,✓,,,Lista wyboru,-None-; Tak; Nie; Nie wiem,,,,
Czy na spotkaniu była osoba decyzyjna,osoba_decyzyjna,formula,✓,,✓,Formuła,,,,,
Czy na spotkaniu była osoba decyzyjna?,Czy_na_spotkaniu_byla_osoba_decyzyjna,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
Czy na spotkaniu zidentyfikowano realny problem,Czy_na_spotkaniu_zidentyfikowano_realny_problem,formula,✓,,✓,Formuła,,,,,
Czy problem Klienta jest pilny,Czy_problem_Klienta_jest_pilny,formula,✓,,✓,Formuła,,,,,
Czy problem klienta jest wystarczająco pilny?,Czy_problem_klienta_jest_wystarczaj_co_pilny1,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
Czy spotkanie było z TTP,Czy_spotkanie_by_o_z_TTP1,formula,✓,,✓,Formuła,,,,,
Czy spotkanie było z TTP?,Czy_spotkanie_by_o_z_TTP,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
Czy ustalono kolejne kroki po spotkaniu,Czy_ustalono_kolejne_kroki_po_spotkaniu,formula,✓,,✓,Formuła,,,,,
Czy ustalono kolejne kroki po spotkaniu?,Czy_ustalono_kolejne_kroki_po_spotkaniu1,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
Czy zidentyfikowano realny problem?,Czy_zidentyfikowano_realny_problem1,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
Czy znamy termin decyzji zakupowej,Czy_znamy_termin_decyzji_zakupowej,formula,✓,,✓,Formuła,,,,,
Czy znamy termin decyzji zakupowej?,Czy_znamy_termin_decyzji_zakupowej1,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
Data spotkania,Data_spotkania,datetime,✓,,,Data i czas,,,,,
Deal,Deal,lookup,✓,,,Lookup,,Deals,,,
Firma,Firma,lookup,✓,,,Lookup,,Accounts,,,
Host,Host,text,✓,,,Tekst,,,255,,
II poziom źródła,II_poziom_zrodla,text,✓,,,Tekst,,,255,,
III poziom źródła,III_poziom_zrodla,text,✓,,,Tekst,,,255,,
IV poziom źródła,IV_poziom_zrodla,text,✓,,,Tekst,,,255,,
Konwersja,Konwersja_num,formula,✓,,✓,Formuła,,,,,
Konwersja?,Konwersja,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
Lead,Lead,lookup,✓,,,Lookup,,Leads,,,
Nazwa Firmy,Firma_Leada_w_bazie,text,✓,,,Tekst,,,255,,
Nazwa Leada,Nazwa_Leada,text,✓,,,Tekst,,,255,,
Ocena spotkania,Ocena_spotkania,text,✓,,,Tekst,,,255,,
Ogolna ocena jakosci prospekta,Ogolna_ocena_jakosci_prospekta,double,✓,,,double,,,,,
Opis Leada,Opis_Leada,textarea,✓,,,Tekst wielowierszowy,,,32000,,
Osoba kontaktowa,Osoba_kontaktowa,text,✓,,,Tekst,,,255,,
PreSales,PreSales,text,✓,,,Tekst,,,255,,
Problem klienta,Problem_klienta,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Produkt,Produkt,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,medidesk; vetidesk; szkolenia; bot,,,,
Źródło inbound/outbound,Outbound_Inbound,picklist,✓,,,Lista wyboru,-None-; Outbound (outbound); Inbound (inbound),,,,
Adres Email,Email,email,,,,Email,,,,,
Ankieta Spotkania - nazwa,Name,autonumber,,,,Autonumer,,,,,
Ankieta Spotkania Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
