Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Afiliacja,Afiliacja,text,✓,,,Tekst,,,255,,
Domena maila uczestnika,Domena_maila_uczestnika,text,✓,,,Tekst,,,255,,
E-mail do opiekuna,E_mail_do_opiekuna,email,✓,,,Email,,,,,
Email 3,Email_3,email,✓,,,Email,,,,,
Firma Płatnika AMOZ X,Firma_Platnika_AMOZ_X,lookup,✓,,,Lookup,,Accounts,,,
Firma Uczestnika AMOZ X,Firma_Uczestnika_AMOZ_X,lookup,✓,,,Lookup,,Accounts,,,
Firma płatnika,Firma,text,✓,,,Tekst,,,255,,
Firma uczestnika,Firma_uczestnika,text,✓,,,Tekst,,,255,,
Imię kupującego,Imie_kupujacego,text,✓,,,Tekst,,,255,,
Imię uczestnika,Imie,text,✓,,,Tekst,,,255,,
Kategoria prelegenta,Kategoria_prelegenta,picklist,✓,,,Lista wyboru,-None-; Option 1; Option 2,,,,
Klient,Klient,picklist,✓,,,Lista wyboru,-None-; Option 1; Option 2,,,,
Kod promocyjny,Kod_promocyjny,text,✓,,,Tekst,,,255,,
Konferencja,Konferencja,picklist,✓,,,Lista wyboru,-None-; Konferencja medidesk; Konferencja zewnętrzna,,,,
Konferencja medidesk,Konferencja_medidesk,picklist,✓,,,Lista wyboru,-None-; 202509 AMOZ X; 202509 AMOZ Xjj (data nazwa wydarzenia),,,,
NIP Firmy płatnika,NIP,text,✓,,,Tekst,,,255,,
NIP Firmy uczestnika,NIP_Firmy_uczestnika,text,✓,,,Tekst,,,255,,
Nazwa biletu lista,Nazwa_biletu_lista,picklist,✓,,,Lista wyboru,-None-; Opcja 2; Bankiet + konferencja; Bilet; bilet gold; Bilet Grupowy ( min.3 osoby) Konferencja; Bilet Grupowy ( min.3 osoby) GOLD; Bilet Grupowy ( min.3 osoby) GOLD - Early Birds; Bilet Grupowy ( min.3 osoby) GOLD - Przedsprzedaż; Bilet Grupowy ( min.3 osoby) Konferencja - Przedsprzedaż; Early Birds GOLD ( konferencja + bankiet); Early Birds KONFERENCJA; GOLD (konferencja + bankiet); GOLD przedsprzedaż (konferencja + bankiet); KONFERENCJA; KONFERENCJA przedsprzedaż,,,,
Nazwa biletu tekst,Nazwa_biletu_tekst,text,✓,,,Tekst,,,255,,
Nazwisko kupującego,Nazwisko_kupujacego,text,✓,,,Tekst,,,255,,
Nazwisko uczestnika,Nazwisko,text,✓,,,Tekst,,,255,,
Nr zamowienia,Nr_zamowienia,text,✓,,,Tekst,,,255,,
Odczytano email,Odczytano_email,boolean,✓,,,Checkbox (Boolean),,,,,
Opiekun Handlowy przy testach AI,Opiekun_Handlowy_przy_testach_AI,picklist,✓,,,Lista wyboru,-None-; Option 1; Option 2,,,,
Opiekun partnera,Opiekun_partnera,text,✓,,,Tekst,,,255,,
Outbound_Inbound,Outbound_Inbound,picklist,✓,,,Lista wyboru,-None-; Inbound (Social Media); Outbound; Facebook; Twitter,,,,
Pan/Pani,Pan_Pani,picklist,✓,,,Lista wyboru,-None-; Option 1; Option 2,,,,
Prelegent w panelu,Prelegent_w_panelu,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,"Zdrowie placówki medycznej oczami nowoczesnego menedżera – strategie na wyzwania w erze szybkich zmian rynkowych.; Panel dyskusyjny: Rozwój marki medycznej – akwizycja, rozwój organiczny czy sprzedaż do dużej sieci? Którą drogę wybrać?; Panel dyskusyjny: Kryzys kadrowy w medycynie – jak przetrwać, rekrutować i skutecznie zarządzać personelem?; Jak wdrożyć innowacje cyfrowe, nie popełniając błędów oraz nie tracąc zaufania pacjentów. (Panel: Jak wdrożyć innowacje cyfrowe, nie popełniając błędów oraz nie tracąc zaufania pacjentów.); Cyberzagrożenia w medycynie – jak chronić placówkę przed atakami, wdrażając innowacje i procedury bezpieczeństwa.; Transformacja cyfrowa placówek medycznych – jak nowe technologie, integracje, AI pomagają w ewolucji branży medycznej.; Patient Experience 3.0: Jak stworzyć niezapomniane doświadczenie kontaktu z placówką i zdobyć serce pacjenta.; Debata oksfordzka – Teza: NFZ jest najlepszym modelem finansowania ochrony zdrowia w Polsce.; Czy lekarz sprzedaje? Niewygodne pytania o komunikację, wpływ i etykę w gabinecie.; Od kliknięcia do zachwytu – skuteczny marketing i codzienna obsługa, które budują lojalność pacjenta.",,,,
Prelekcja,Prelekcja,text,✓,,,Tekst,,,255,,
Priorytet,Priorytet,picklist,✓,,,Lista wyboru,-None-; Option 1; Option 2,,,,
Rodzaj uczestnika,Rodzaj_uczestnika,picklist,✓,,,Lista wyboru,-None-; Partner; Placówka; Organizator; Prelegent; Zgłosił się na testy Medidesk AI; Odpad,,,,
