Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Firma,Firma,text,✓,,,Tekst,,,255,,
Imie,Imie,text,✓,,,Tekst,,,255,,
Nazwisko,Nazwisko,text,✓,,,Tekst,,,255,,
Partner,Partner,lookup,✓,,,Lookup,,Accounts,,,
Rola,Rola,picklist,✓,,,Lista wyboru,-None-; Regular; Supervisor,,,,
Telefon,Telefon,phone,✓,,,Telefon,,,,,
Adres Email,Email,email,,,,Email,,,,,
CallCenter - pracownik,Name,autonumber,,,,Autonumer,,,,,
CallCenter Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Obraz CallCenter,Record_Image,profileimage,,,,profileimage,,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Waluta,Currency,picklist,,,,Lista wyboru,PLN; USD; EUR,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
Zrezygnuj z otrzymania emaila,Email_Opt_Out,boolean,,,,Checkbox (Boolean),,,,,
