Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Status połączenie wg medidesk,Polaczenie_status,picklist,✓,,,Lista wyboru,-None-; Wykonane/Odebrane (wykonane/odebrane); Wykonane/Nieodebrane (nieodebrane); Niewykonane/Przełożone (przełożone/niewykonane); Zaplanowane (zaplanowane); Anulowane,,,,
Cel rozmowy,Call_Purpose,picklist,,,,Lista wyboru,-None-; Administracyjny (Administrative); Call I; Desk (Support); Follow up; Jaka decyzja/co robimy dalej?; Kontakt po webinarze medidesk; Negocjacje (Negotiation); Nowy termin spotkania po No Show; Poszukiwania (Prospecting); Potwierdzenie spotkania; Projekt (Project); Sprzedaż biletów na AMOZ; Ustalenie terminu spotkania; Wersja demonstracyjna (Demo),,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas trwania połączenia (w sekundach),Call_Duration_in_seconds,integer,,,,Liczba całkowita,,,,,
Czas trwania rozmowy,Call_Duration,text,,,,Tekst,,,50,,
Czas utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Identyfikator rozmówcy,Caller_ID,text,,,✓,Tekst,,,30,,
Nagrywanie głosowe,Voice_Recording__s,website,,,,URL,,,,,
Nazwa kontaktu,Who_Id,lookup,,,,Lookup,,Contacts,,,
Opis,Description,textarea,,,,Tekst wielowierszowy,,,32000,,
Plan połączenia,Call_Agenda,text,,,,Tekst,,,255,,
Początek rozmowy,Call_Start_Time,datetime,,,,Data i czas,,,,,
Powiązany z,What_Id,lookup,,,,Lookup,,se_module,,,
Przypomnienie,Reminder,picklist,,,,Lista wyboru,None (none); 5 min przed (5 mins); 10 min przed (10 mins); 15 min przed (15 mins); 30 min przed (30 mins); 1 godz. przed (1 hrs); 2 godz. przed (2 hrs); 1 dzień przed (1 days); 2 dni przed (2 days),,,,
Stan połączenia wychodzącego,Outgoing_Call_Status,picklist,,,,Lista wyboru,-None-; Zaplanowane (Scheduled); Ukończone (Completed); Przeterminowane (Overdue); Anulowane (Cancelled),,,,
Temat,Subject,text,,,,Tekst,,,255,,
Typ połączenia,Call_Type,picklist,,,,Lista wyboru,Wychodzące (Outbound); Przychodzące (Inbound); Nieodebrane (Missed),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Wpis CTI,CTI_Entry,boolean,,,,Checkbox (Boolean),,,,,
Wybrany numer,Dialled_Number,text,,,✓,Tekst,,,30,,
Wynik rozmowy,Call_Result,picklist,,,,Lista wyboru,-None-; No show; Umówiono spotkanie; Zainteresowany (Interested); Nieinteresowany (Not interested); Brak odpowiedzi/zajęty (No response/Busy); Zażądano więcej informacji (Requested more info); Prośba o oddzwonienie (Requested call back); Potwierdzony Meeting I; Tworzenie Leada; Nieprawidłowa liczba (Invalid number),,,,
Właściciel połączenia,Owner,ownerlookup,,,✓,Właściciel,,,,,
Zaplanowano w CRM,Scheduled_In_CRM,picklist,,,✓,Lista wyboru,FALSE (False); TRUE (True),,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
