Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Backstage Portal,Native__Backstage__Extn__Backstage_Portal,picklist,✓,,✓,Lista wyboru,-None-; Medidesk (20101549222),,,,
Brand,Native__Backstage__Extn__Brand,picklist,✓,,,Lista wyboru,-None-; Default Space (24311000000002010),,,,
Campaign Subject,Native__Campaigns__Extn__Campaign_Subject,text,✓,,,Tekst,,,255,,
Department ID,Native__Survey__Extn__Department_ID,text,✓,,✓,Tekst,,,255,,
Event Category,Native__Backstage__Extn__Event_Category,picklist,✓,,,Lista wyboru,-None-; Art & Photos (ARTS_AND_PHOTOS); Automotive (AUTOMOTIVE); Business (BUSINESS); Career (CAREER); Data & Analytics (DATA_AND_ANALYTICS); Design (DESIGN); Devices & Hardware (DEVICES_AND_HARDWARE); Economy & Finance (ECONOMY_AND_FINANCE); Education (EDUCATION); Engineering (ENGINEERING); Entertainment & Humor (ENTERTAINMENT_AND_HUMOR); Environment (ENVIRONMENT); Food (FOOD); Government & Nonprofit (GOVERNMENT_AND_NONPROFIT); Health & Medicine (HEALTH_AND_MEDICINE); Healthcare (HEALTHCARE); Internet (INTERNET); Investor Relations (INVESTOR_RELATIONS); Law (LAW); Leadership & Management (LEADERSHIP_AND_MANAGEMENT); Lifestyle (LIFESTYE); Marketing (MARKETING); Mobile (MOBILE); News & Politics (NEWS_AND_POLITICS); Presentations & Public Speaking (PRESENTATIONS_AND_PUBLIC_SPEAKING); Real Estate (REAL_ESTATE); Recruiting & HR (RECRUITING_AND_HR); Retail (RETAIL); Sales (SALES); Science (SCIENCE); Self Improvement (SELF_IMPROVEMENT); Services (SERVICES); Small Business & Entrepreneurship (SMALL_BUSINESS_AND_ENTREPRENEURSHIP); Social Media (SOCIAL_MEDIA); Software (SOFTWARE); Spiritual (SPIRITUAL); Sports (SPORTS); Technology (TECHNOLOGY); Travel (TRAVEL); Others (OTHERS); User conference (USER_CONFERENCE); Seminar (SEMINAR); Workshop (WORKSHOP),,,,
Event End Date,Native__Backstage__Extn__Event_End_Date,datetime,✓,,,Data i czas,,,,,
Event Language,Native__Backstage__Extn__Event_Language,picklist,✓,,,Lista wyboru,-None-; Afrikaans (af); Azerbaijani (az); BahasaIndonesia (id); BahasaMelayu (ms); Basque (eu); Bengali (bn); Bosnian (bs); Breton (br); Burmese (my); Chuvash (cv); Dansk (da); Deutsch (de); Eesti (et); English (en); Esperanto (eo); Faroese (fo); Frisian (fy); Gallegan (gl); Georgian (ka); Javanese (jv); Kannada (kn); Kazakh (kk); Khmer (km); Kirghiz (ky); Lao (lo); Latviešu (lv); Lietuvių (lt); Luxembourgish (lb); Malayalam (ml); Maori (mi); Marathi (mr); Nederlands (nl); Nepali (ne); NorthernSami (se); NorwegianBokmål (nb); NorwegianNynorsk (nn); Persian (fa); ScottishGaelic (gd); Sindhi (sd); Sinhalese (si); Slovenčina (sk); Slovenščina (sl); Swahili (sw); Swati (ss); Tagalog (tl); Tamil (ta); Telugu (te); Tibetan (bo); TiếngViệt (vi); Türkçe (tr); Urdu (ur); Uzbek (uz); Welsh (cy); Yoruba (yo); català (ca); español (es); français (fr); hrvatski (hr); italiano (it); magyar (hu); polski (pl); português (pt); română (ro); shqip (sq); suomi (fi); svenska (sv); íslenska (is); čeština (cs); Ελληνικά (el); Српски (sr); беларускі (be); български (bg); македонски (mk); русский (ru); українська (uk); עברית (he); العربية (ar); हिंदी (hi); ไทย (th); 中文 (zh); 日本語 (ja); 한국어 (ko),,,,
Event Location,Native__Backstage__Extn__Event_Location,text,✓,,✓,Tekst,,,255,,
Event Name,Native__Backstage__Extn__Event_Name,text,✓,,,Tekst,,,255,,
Event Start Date,Native__Backstage__Extn__Event_Start_Date,datetime,✓,,,Data i czas,,,,,
Event Type,Native__Backstage__Extn__Event_Type,picklist,✓,,,Lista wyboru,-None-; Location Based (2); Online Event (3); Hybrid Event (4),,,,
Facebook_source,Facebook_source,picklist,✓,,,Lista wyboru,-None-; EBook Trudny Pacjent; EBook Zmiany w prawie marketingu medycznego; EBook Zyskowna przychodnia - redukcja kosztów; EBook TTP; general (Opcja 2); Umów spotkanie FB,,,,
Konferencja,Konferencja,picklist,✓,,,Lista wyboru,-None-; Konferencja medidesk; Konferencja zewnętrzna,,,,
Konferencja_medidesk,Konferencja_medidesk,picklist,✓,,,Lista wyboru,-None-; 202509 AMOZ X; 202509 AMOZ Xjj (data nazwa wydarzenia),,,,
Konferencja_zewnetrzna,Konferencja_zewnetrzna,picklist,✓,,,Lista wyboru,-None-; 20250410 Krakdent (data nazwa wydarzenia); 202510 Dolmed; 202510 Comarch,,,,
Koszty tabela,Koszty_tabela,subform,✓,,,subform,,,,,
