Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Adres Email,Email,email,,,,Email,,,,,
Ankietę,Contact_Through_Survey,boolean,,,,Checkbox (Boolean),,,,,
Consent Owner,Owner,ownerlookup,,,,Właściciel,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Data zgody,Consent_Date,date,,,,Data,,,,,
E-mail,Contact_Through_Email,boolean,,,,Checkbox (Boolean),,,,,
Mail Sent Time,Mail_Sent_Time,datetime,,,,Data i czas,,,,,
Podstawa przetwarzania danych,Data_Processing_Basis,picklist,,,,Lista wyboru,Nie dotyczy (Not Applicable); Słuszny interes (Legitimate Interests); Umowa (Contract); Zobowiązanie prawne (Legal Obligation); Istotny interes (Vital Interests); Interes publiczny (Public Interests); Zgoda — w toku (Pending); Zgoda – oczekiwanie (Awaiting); Zgoda — uzyskano (Obtained); Zgoda — bez odpowiedzi (Not Responded); Zgoda — zatrzymaj przetwarzanie (Stop Processing); Zgoda — usuń (Delete),,,,
Przyczyna prawna,Lawful_Reason,textarea,,,,Tekst wielowierszowy,,,2000,,
Telefon,Contact_Through_Phone,boolean,,,,Checkbox (Boolean),,,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Uwagi do zgody,Consent_Remarks,textarea,,,,Tekst wielowierszowy,,,2000,,
Zgoda udzielona przez,Consent_Through,picklist,,,,Lista wyboru,Adres Email (Email); Połączenie (Call); Portal; Formularz Internetowy (Web Form); Formularz zgody (Consent Form),,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
