Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Adres firmy,Adres_zapisany_z_rodzajem_z_firmy,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Brak danych kontaktowych,no_contact_data,boolean,✓,,,Checkbox (Boolean),,,,,
CC_założyciel,CC_zalozyciel,lookup,✓,,,Lookup,,CallCenter,,,
Czy ma asystenta?,Czy_ma_asystenta,boolean,✓,,,Checkbox (Boolean),,,,,
Data realizacji szkolenia,Data_realizacji_szkolenia_przez_szkolenia,date,✓,,,Data,,,,,
Deal ID,Deal_ID,text,✓,,,Tekst,,,255,,
Decision maker,Decision_maker,boolean,✓,,,Checkbox (Boolean),,,,,
Decyzyjność,Kontakty_wplyw_na_zakupy,picklist,✓,,,Lista wyboru,-None-; Decyzyjna; Półdecyzyjna (Póldeczyjna); Niedecyzyjna; Bloker,,,,
Domena_z_Email1,Domena_z_prywatny_email,formula,✓,,✓,Formuła,,,,,
Domena_z_Email2,Domena_ze_sluzbowy_email,formula,✓,,✓,Formuła,,,,,
Drugie imię,Kontakt_drugie_imie,text,✓,,,Tekst,,,255,,
Email 3,Email_3,email,✓,,,Email,,,,,
Email marketingowy,Email_marketingowy,email,✓,,,Email,,,,,
Email marketingowy odsubskrybuj,Email_marketingowy_odsubskrybuj,boolean,✓,,,Checkbox (Boolean),,,,,
Email1 - odsubskrybuj,EMail1_RODO_wyrazona_niezgoda,boolean,✓,,,Checkbox (Boolean),,,,,
Email2 - odsubskrybuj,EMail2_RODO_wyrazona_niezgoda,boolean,✓,,,Checkbox (Boolean),,,,,
Email3 - odsubskrybuj,EMail3_RODO_wyrazona_niezgoda,boolean,✓,,,Checkbox (Boolean),,,,,
Facebook,Facebook,website,✓,,,URL,,,,,
Facebook źródło,Facebook_source,picklist,✓,,,Lista wyboru,-None-; EBook Trudny Pacjent; EBook Zmiany w prawie marketingu medycznego; EBook Zyskowna przychodnia - redukcja kosztów; EBook TTP; general (Opcja 2); Umów spotkanie FB,,,,
Firma polecajaca,Polecenie_firma,lookup,✓,,,Lookup,,Accounts,,,
Follow up szkolenia,Follow_up_szkolenia,picklist,✓,,,Lista wyboru,-None-; Manualnie; Automatycznie,,,,
Ilosc_scalen,Ilosc_scalen,integer,✓,,,Liczba całkowita,,,,,
ImieINazwisko 15122024,ImieINazwisko_15122024,text,✓,,,Tekst,,,255,,
Imię i Nazwisko,Imie_i_Nazwisko,formula,✓,,✓,Formuła,,,,,
Instagram,Instagram,website,✓,,,URL,,,,,
Konferencja,Konferencja,picklist,✓,,,Lista wyboru,-None-; Konferencja medidesk; Konferencja zewnętrzna,,,,
Konferencja medidesk,Konferencja_medidesk,picklist,✓,,,Lista wyboru,-None-; 202509 AMOZ X; 202509 AMOZ Xjj (data nazwa wydarzenia),,,,
Konferencja zewnętrzna,Konferencja_zewnetrzna,picklist,✓,,,Lista wyboru,-None-; 20250410 Krakdent (data nazwa wydarzenia); 202510 Dolmed; 202510 Comarch,,,,
Last_contacted_USER,Last_contacted_USER,datetime,✓,,,Data i czas,,,,,
LinkedIn,LinkedIn,website,✓,,,URL,,,,,
Nastawienie,Nastawienie,picklist,✓,,,Lista wyboru,-None-; dobre; neutralne; złe,,,,
Nazwisko 15122024,Nazwisko_15122024,text,✓,,,Tekst,,,255,,
Osoba kontaktowa 15122024,Osoba_kontaktowa_15122024,text,✓,,,Tekst,,,255,,
Outbound_Inbound,Outbound_Inbound,picklist,✓,,,Lista wyboru,-None-; Outbound; Inbound,,,,
PEOP_moj_id,PEOP_moj_id,text,✓,,,Tekst,,,255,,
PEOP_moj_id_auto,PEOP_moj_id_auto,autonumber,✓,,,Autonumer,,,,,
Partner polecajacy,Polecenie_partner,lookup,✓,,,Lookup,,Accounts,,,
Pobrał EBooka FB Data,Pobral_EBooka_FB_data,date,✓,,,Data,,,,,
Pobrał Ebook FB,Pobral_EBooka_FB,boolean,✓,,,Checkbox (Boolean),,,,,
Polecenie,Polecenie,picklist,✓,,,Lista wyboru,-None-; Firma polecająca (Zewnętrzne); Pracownik medidesk (Pracownik medidesk/Wewnętrzne); Partner polecający (Partner),,,,
Pracownik medidesk,Polecenie_pracownik,userlookup,✓,,,Użytkownik,,,,,
Pracuje w,Nazwa_firmy_kontaktu,formula,✓,,✓,Formuła,,,,,
Przyczyna dyskwalifikacji DEALA,Przyczyna_dyskwalifikacji_DEALA,picklist,✓,,,Lista wyboru,"-None-; Za wysoka cena; Brak funduszy na już, klient czeka na finansowanie; Konkurencja; Brak funkcjonalności; Nie teraz; Klient przestał się odzywać; No target; Brak potrzeb",,,,
Przyczyna dyskwalifikacji Data,Przyczyna_dyskwalifikacji_DEALA_data,date,✓,,,Data,,,,,
Płeć,Plec,text,✓,,,Tekst,,,255,,
REKORD_TEST,REKORD_TEST,boolean,✓,,,Checkbox (Boolean),,,,,
RODO Żądanie usunięcia rekodu,RODO_Zadanie_usuniecia_rekordu,boolean,✓,,,Checkbox (Boolean),,,,,
Rekord do poprawki,Rekord_do_poprawki,boolean,✓,,,Checkbox (Boolean),,,,,
Social Lead ID,leadchain0__Social_Lead_ID,text,✓,,,Tekst,,,150,,
Stanowisko,Stanowisko,text,✓,,,Tekst,,,255,,
Strona firmy,Strona_firmy,website,✓,,,URL,,,,,
