Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
ASU,ASU,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Adres,Adres,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Email1 - odsubskrybuj,EMail1_RODO_wyrazona_niezgoda,boolean,✓,,,Checkbox (Boolean),,,,,
Emaile inne,Emaile_inne,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Funkcja osoby,Funkcja_osoby,text,✓,,,Tekst,,,255,,
Gmina,Gmina,text,✓,,,Tekst,,,255,,
Id zgloszenia,Id_zgloszenia,text,✓,,,Tekst,,,255,,
Kategoria_kontaktu,Kategoria_kontaktu,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Osoba kluczowa; Pozostałe osoby kluczowe; Osoba reprezentująca; Osoba kontaktowa; Do podpięcia usługi; Dział IT; Wysyłka faktur; Zarząd; Rejestracja; Manager,,,,
Klucz zgloszenia,Klucz_zgloszenia,text,✓,,,Tekst,,,255,,
Kod pocztowy,Kod_pocztowy,text,✓,,,Tekst,,,255,,
Komentarz,Komentarz,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Miasto,Miasto,text,✓,,,Tekst,,,255,,
Miejscowosc,Miejscowosc,text,✓,,,Tekst,,,255,,
NIP,NIP,text,✓,,,Tekst,,,255,,
Nazwa projektu,Nazwa_projektu,text,✓,,,Tekst,,,255,,
Nazwa rejestrowa,Nazwa_rejestrowa,text,✓,,,Tekst,,,255,,
Nazwa zwyczajowa,Nazwa_zwyczajowa,text,✓,,,Tekst,,,255,,
Nr domu,Nr_domu,text,✓,,,Tekst,,,255,,
Nr lokalu,Nr_lokalu,text,✓,,,Tekst,,,255,,
Osoba,Osoba,text,✓,,,Tekst,,,255,,
Platnik rejestrowy,Platnik_rejestrowy,lookup,✓,,,Lookup,,Accounts,,,
Powiat,Powiat,text,✓,,,Tekst,,,255,,
Status,Status,text,✓,,,Tekst,,,255,,
Status_wdrozenia,Status_wdrozenia,picklist,✓,,,Lista wyboru,-None-; Aktywny; Nowy Klient; Powrót do sprzedaży (cofka); Rezygnacja (wyłączony); Wypowiedzenie w trakcie obrony; W Trakcie Wdrożenia; W Trakcie Wypowiedzenia,,,,
Strona internetowa,Strona_internetowa,website,✓,,,URL,,,,,
Telefon,Telefon,phone,✓,,,Telefon,,,,,
Telefony inne,Telefony_inne,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Ulica,Ulica,text,✓,,,Tekst,,,255,,
Uslugi,Uslugi,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Czat z pacjentem (zewnętrzny); Czat personelu (wewnętrzny); Formularz kontaktowy; SMS; VoIP; Konto Menagerskie; VoIP + Konto Managerskie; Voicebot; Medidesk; Medidesk Trial; Vetidesk; Vetidesk Trial; Teledesk; Wywoływanie karty pacjenta w FelgDent,,,,
Utworzono w Jira,Utworzono_w_Jira,date,✓,,,Data,,,,,
Wojewodztwo,Wojewodztwo,text,✓,,,Tekst,,,255,,
Adres Email,Email,email,,,,Email,,,,,
CustomerEmail - nazwa,Name,text,,,,Tekst,,,120,,
CustomerEmail Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Obraz CustomerEmail,Record_Image,profileimage,,,,profileimage,,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Waluta,Currency,picklist,,,,Lista wyboru,PLN; USD; EUR,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
Zrezygnuj z otrzymania emaila,Email_Opt_Out,boolean,,,,Checkbox (Boolean),,,,,
