Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Adres Email,Email,email,,,,Email,,,,,
CustomerEmailsxSiecFirmy Imię i nazwisko,Name,autonumber,,,,Autonumer,,,,,
CustomerEmailsxSiecFirmy Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Drugi Email,Secondary_Email,email,,,,Email,,,,,
Kurs wymiany,Exchange_Rate,double,,,✓,double,,,,,
Sieć firmy,Sie_firmy,lookup,,,,Lookup,,Marketing_Leads,,,
Sieć firmy1,Sie_firmy1,lookup,,,,Lookup,,CustomerEmails,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Waluta,Currency,picklist,,,,Lista wyboru,PLN; USD; EUR,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Zrezygnuj z otrzymania emaila,Email_Opt_Out,boolean,,,,Checkbox (Boolean),,,,,
