Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Aparat_trial,Aparat_trial,picklist,✓,,,Lista wyboru,-None-; Użyczenie Softphona; Zakup aparatu,,,,
Bezplatne_minuty_polska_medidesk,Bezplatne_minuty_polska_medidesk,picklist,✓,,,Lista wyboru,-None-; Nie przyznano pakietu; Pakiet 500 minut; Pakiet 1000 minut; Pakiet 1500 minut; Pakiet 2000 minut,,,,
Bezplatne_minuty_polska_poxbox,Bezplatne_minuty_polska_poxbox,picklist,✓,,,Lista wyboru,-None-; Nie przyznano pakietu; Pakiet 500 minut; Pakiet 1000 minut; Pakiet 1500 minut; Pakiet 2000 minut,,,,
Blokada_polaczen_po_limicie,Blokada_polaczen_po_limicie,picklist,✓,,,Lista wyboru,-None-; TAK; NIE,,,,
Cennik_telco,Cennik_telco,picklist,✓,,,Lista wyboru,-None-; Ogólny; VIP; Premium; Indywidualny (potwierdzone z Działem Telco); Ogólny z pakietem minut (potwierdzone z Działem Telco),,,,
Czas_trwania_triala,Czas_trwania_triala,integer,✓,,,Liczba całkowita,,,,,
Czas_trwania_umowy,Czas_trwania_umowy,picklist,✓,,,Lista wyboru,-None-; Nieokreślony; Określony,,,,
Czy do wdrożenia używamy aparatów klienta?,Czy_aparaty_klienta,picklist,✓,,,Lista wyboru,-None-; TAK; NIE,,,,
Czy dodatkowe 1 jest wymagane?,Formularz_dodatkowe_3_wymagane,boolean,✓,,,Checkbox (Boolean),,,,,
Czy dodatkowe 2 jest wymagane?,Formularz_dodatkowe_2_wymagane,boolean,✓,,,Checkbox (Boolean),,,,,
Czy dodatkowe 3 jest wymagane?,Formularz_dodatkowe_1_wymagane,boolean,✓,,,Checkbox (Boolean),,,,,
Czy informatyk to firma zewnetrzna,Czy_informatyk_to_firma_zewnetrzna,picklist,✓,,,Lista wyboru,-None-; TAK; Nie ustalono; NIE,,,,
Czy klient ma centrale?,Czy_klient_ma_centrale,picklist,✓,,,Lista wyboru,-None-; TAK; NIE,,,,
Czy klient zaakceptował koszty przek płatnych poł?,Akceptacja_kosztow_przekier,picklist,✓,,,Lista wyboru,-None-; TAK; NIE; Nie ustalono,,,,
Czy pole email jest wymagane?,Formularz_email_wymagane,boolean,✓,,,Checkbox (Boolean),,,,,
Czy pole imię jest wymagane?,Formularz_imie_wymagane,boolean,✓,,,Checkbox (Boolean),,,,,
Czy pole nazwisko jest wymagane?,Formularz_nazwisko_wymagane,boolean,✓,,,Checkbox (Boolean),,,,,
Czy pole pytanie jest wymagane?,Formularz_pytanie_wymagane,boolean,✓,,,Checkbox (Boolean),,,,,
Czy pole telefon jest wymagane?,Formularz_telefon_wymagane,boolean,✓,,,Checkbox (Boolean),,,,,
Czy_bezplatne_przekierowania,Czy_bezplatne_przekierowania,picklist,✓,,,Lista wyboru,-None-; TAK; NIE; Nie ustalono,,,,
Czy_blokada_pol_wych_po_limicie,Czy_blokada_pol_wych_po_limicie,picklist,✓,,,Lista wyboru,-None-; TAK; NIE; Nie ustalono,,,,
Czy_bot_na_nowym_numerze,Czy_bot_na_nowym_numerze,picklist,✓,,,Lista wyboru,-None-; TAK; NIE,,,,
Czy_byla_wycena_wdrozenia_przez_Systegre,Czy_byla_wycena_wdrozenia_przez_Systegre,picklist,✓,,,Lista wyboru,-None-; TAK; NIE; Nie dotyczy,,,,
Czy_dedykowane_numery_kampanie,Czy_dedykowane_numery_kampanie,picklist,✓,,,Lista wyboru,-None-; TAK; NIE; Nie ustalono,,,,
Czy_kontakt_z_IVR_w_zapowiedzi,Czy_kontakt_z_IVR_w_zapowiedzi,picklist,✓,,,Lista wyboru,-None-; TAK; NIE,,,,
Czy_mozliwe_przekierowanie_do_konsultanta,Czy_mozliwe_przekierowanie_do_konsultanta,picklist,✓,,,Lista wyboru,-None-; TAK; NIE,,,,
Czy_systegra_uczestniczyla_w_sprzedazy,Czy_systegra_uczestniczyla_w_sprzedazy,picklist,✓,,,Lista wyboru,-None-; TAK; NIE,,,,
