Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Firmy,Firma,multiselectlookup,✓,,,multiselectlookup,,,,,
Kierunkowy,Kierunkowy,picklist,✓,,,Lista wyboru,-None-; +93 Afganistan; +355 Albania; +213 Algeria; +376 Andora; +244 Angola; +1264 Anguilla; +1268 Antigua i Barbuda; +599 Antyle Holenderskie; +966 Arabia Saudyjska; +54 Argentyna; +374 Armenia; +297 Aruba; +61 Australia; +43 Austria; +994 Azerbejdżan; +1242 Bahama; +973 Bahrajn; +880 Bangladesz; +1246 Barbados; +680 Belau; +32 Belgia; +501 Belize; +229 Benin; +1441 Bermudy; +975 Bhutan; +375 Białoruś; +591 Boliwia; +387 Bośnia i Hercegowina; +267 Botswana; +55 Brazylia; +673 Brunei; +359 Bułgaria; +226 Burkina Faso; +257 Burundi; +56 Chile; +86 Chiny; +385 Chorwacja; +682 Cooka w-py; +357 Cypr; +235 Czad; +420 Czechy; +45 Dania; +246 Diego Garcia; +1767 Dominika; +1809 Dominikana; +1284 Dziewicze Wyspy Brytyjskie; +1340 Dziewicze Wyspy Stanów Zjednoczonych; +253 Dżibuti; +20 Egipt; +593 Ekwador; +291 Erytrea; +372 Estonia; +251 Etiopia; +500 Falklandy; +679 Fidżi; +63 Filipiny; +358 Finlandia; +33 Francja; +241 Gabon; +220 Gambia; +233 Ghana; +350 Gibraltar; +30 Grecja; +299 Grenlandia; +995 Gruzja; +1671 Guam; +592 Gujana; +594 Gujana Francuska; +590 Gwadelupa; +502 Gwatemala; +224 Gwinea; +245 Gwinea Bissau; +240 Gwinea Równikowa; +509 Haiti; +34 Hiszpania; +31 Holandia; +504 Honduras; +852 Hongkong; +91 Indie; +62 Indonezja; +964 Irak; +98 Iran; +353 Irlandia; +354 Islandia; +972 Izrael; +1876 Jamajka; +81 Japonia; +967 Jemen; +962 Jordania; +1345 Kajmany; +855 Kambodża; +237 Kamerun; +1 Kanada; +34 Kanaryjskie Wyspy; +974 Katar; +7 Kazachstan; +254 Kenia; +996 Kirgistan; +686 Kiribati; +57 Kolumbia; +269 Komory; +242 Kongo; +243 Kongo R.D. (Zair); +82 Korea Południowa; +850 Koreańska R.L.D.; +506 Kostaryka; +53 Kuba; +965 Kuwejt; +856 Laos; +266 Lesotho; +961 Liban; +231 Liberia; +218 Libia; +4175 Lichtenstein; +370 Litwa; +352 Luksemburg; +371 Łotwa; +389 Macedonia; +261 Madagaskar; +853 Makau; +265 Malawi; +960 Malediwy; +60 Malezja; +223 Mali; +356 Malta; +1670 Mariany (Saipan); +853 Maroko; +692 Marshalla Wyspy; +596 Martynika; +222 Mauretania; +230 Mauritius; +52 Meksyk; +691 Mikronezja; +373 Mołdawia; +377 Monako; +976 Mongolia; +1664 Monserrat; +258 Mozambik; +95 Myanmar (Birma); +264 Namibia; +674 Nauru; +977 Nepal; +64 Newa Zelandia; +49 Niemcy; +227 Niger; +234 Nigeria; +505 Nikaragua; +683 Niue; +672 Norfolk Wyspa; +47 Norwegia; +687 Nowa Kaledonia; +968 Oman; +298 Owcze Wyspy; +92 Pakistan; +970 Palestyna; +507 Panama; +675 Papua Nowa Gwinea; +595 Paragwaj; +51 Peru; +689 Polinezja Francuska; +48 Polska; +351 Portugalia; +1787 Puerto Rico; +27 Republika Południowej Afryki; +236 Republika Środkowoafrykańska; +262 Reunion; +7 Rosja; +40 Rumunia; +250 Rwanda; +1869 Saint Kitts Christopher i Nevis; +1758 Saint Lucia; +1809 Saint Vincent; +677 Salomona Wyspy; +503 Salwador; +684 Samoa Amerykańskie; +685 Samoa Zachodnie; +378 San Marino; +221 Senegal; +248 Seszele; +232 Sierra Leone; +65 Singapur; +421 Słowacja; +386 Słowenia; +252 Somalia; +94 Sri Lanka; +1 Stany Zjednoczone Ameryki; +268 Suazi; +249 Sudan; +597 Surinam; +963 Syria; +41 Szwajcaria; +46 Szwecja; +290 Św. Heleny Wyspa; +508 Św. Piotra i Mikeleona Wyspy; +239 Św. Tomasza Wyspy; +7 Tadżykistan; +66 Tajlandia; +886 Tajwan; +255 Tanzania; +228 Togo; +690 Tokelau; +616 Tonga; +1868 Trynidad i Tobago; +216 Tunezja; +90 Turcja; +1649 Turkis Caicos?(wyspy); +993 Turkmenistan; +688 Tuvalu; +256 Uganda; +380 Ukraina; +598 Urugwaj; +7 Uzbekistan; +678 Vanuatu; +681 Walia; +396 Watykan; +58 Wenezuela; +36 Węgry; +44 Wielka Brytania; +84 Wietnam; +39 Włochy; +247 Wniebowstąpienia Wyspy; +225 Wybrzeże Kości Słoniowej; +260 Zambia; +259 Zanzibar; +263 Zimbabwe; +971 Zjednoczone Emiraty Arabskie,,,,
Obszar placówki,Obszar_plac_wki,picklist,✓,,,Lista wyboru,-None-; Rejestracja pacjentów; Centrala; Konsultacje lekarskie; Dyrekcja; Zarząd; Administracja; Wsparcie techniczne/IT; Wyniki badań; Informacja medyczna; Rozliczenia i płatności; Obsługa ubezpieczeń zdrowotnych; Koordynacja badań specjalistycznych; Obsługa skarg i zażaleń; Działania marketingowe,,,,
Telefon komorkowy,Telefon_komorkowy,phone,✓,,,Telefon,,,,,
Telefon stacjonarny,Telefon,phone,✓,,,Telefon,,,,,
Typ danej kontaktowej,Typ_danej_kontaktowej,picklist,✓,,,Lista wyboru,-None-; Email; Telefon stacjonarny krajowy; Telefon komórkowy krajowy; Telefon stacjonarny zagraniczny; Telefon komórkowy zagraniczny,,,,
wewnetrzny,wewnetrzny,phone,✓,,,Telefon,,,,,
Adres Email,Email,email,,,,Email,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
