Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Data zakończenia wdrożenia,Data_zako_czenia_wdro_enia,date,✓,,,Data,,,,,
Polecenie,Polecenie,picklist,✓,,,Lista wyboru,-None-; Firma polecająca (Zewnętrzne); Pracownik medidesk (Pracownik medidesk/Wewnętrzne); Partner polecający (Partner),,,,
Abonament,Amount,currency,,,,Waluta,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,✓,Data i czas,,,,,
Czas trwania etapu (dni kalendarzowe),Stage_Duration_Calendar_Days,integer,,,,Liczba całkowita,,,,,
Data zakończenia,Closing_Date,date,,,,Data,,,,,
Deal - nazwa,Potential_Name,lookup,,,,Lookup,,Deals,,,
Dochód Oczekiwany,Expected_Revenue,currency,,,✓,Waluta,,,,,
Kurs wymiany,Exchange_Rate,double,,,✓,double,,,,,
Opiekun deala,Potential_Owner,userlookup,,,,Użytkownik,,,,,
Prawdopodobieństwo,Probability,integer,,,,Liczba całkowita,,,,,
Przeniesiono do,Moved_To__s,picklist,,,✓,Lista wyboru,"Kwalifikacja (Qualification); Spotkania; Wymagana analiza (Needs Analysis); Oferta (Value Proposition); Negocjace (Negotiation/Review); Zidentyfikuj osoby decyzyjne (Id. Decision Makers); Oferta zaakceptowana (Akceptacja oferty); Propozycja Cenowa / Wycena (Proposal/Price Quote); Umowa w podpisie (Umowa); Closed Won; Wdrożenie; Trial; Zamknięte, przejęte przez konkurencję (Closed Lost to Competition); Umawianie; Wdrożeni Klienci; Closed Lost; Spotkanie umówione; Czyściec 3M",,,,
Status Deala,Stage,picklist,,,,Lista wyboru,"Kwalifikacja (Qualification); Spotkania; Wymagana analiza (Needs Analysis); Oferta (Value Proposition); Negocjace (Negotiation/Review); Zidentyfikuj osoby decyzyjne (Id. Decision Makers); Oferta zaakceptowana (Akceptacja oferty); Propozycja Cenowa / Wycena (Proposal/Price Quote); Umowa w podpisie (Umowa); Closed Won; Wdrożenie; Trial; Zamknięte, przejęte przez konkurencję (Closed Lost to Competition); Umawianie; Wdrożeni Klienci; Closed Lost; Spotkanie umówione; Czyściec 3M",,,,
Waluta,Currency,picklist,,,,Lista wyboru,PLN; USD; EUR,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
