Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Adres firmy deala,Adres_firmy_deala,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Audyt,Audyt,currency,✓,,,Waluta,,,,,
Commission_date,Commission_date,datetime,✓,,,Data i czas,,,,,
Czy pokazać wszystkie dane rekordu?,Czy_pokaza_wszystkie_dane_rekordu,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zawiera Audyt? (tick),Czy_zawiera_Audyt_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zawiera Marketing (tick),Czy_zawiera_Marketing_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zawiera NewFeature? (tick),Czy_zawiera_NewFeature_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zawiera Sprzęt? (tick),Czy_zawiera_Sprzet_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zawiera VoIP? (tick),Czy_zawiera_VoIP_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zawiera bot? (tick),Czy_zawiera_Bot_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zawiera medidesk?  (tick),Czy_zawiera_Medidesk_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zawiera same szkolenia? (tick),Czy_zawiera_Tylko_Szkolenia_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zawiera szkolenia? (tick),Czy_zawiera_Szkolenia_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zawiera vetidesk?  (tick),Czy_zawiera_Vetidesk_tick,boolean,✓,,,Checkbox (Boolean),,,,,
DLI,DLI,lookup,✓,,,Lookup,,Dane_liczbowe_instalacji,,,
Data Hot Leada,Data_Hot_Lead,date,✓,,,Data,,,,,
Data podpisania umowy,Data_podpisania_umowy,date,✓,,,Data,,,,,
Data realizacji szkolenia,Data_realizacji_szkolenia,date,✓,,,Data,,,,,
Data szkolenia,Data_szkolenia,date,✓,,,Data,,,,,
Data zakończenia wdrożenia,Data_zakonczenia_wdrozenia,date,✓,,,Data,,,,,
Deal przekazany,Deal_przekazany,boolean,✓,,,Checkbox (Boolean),,,,,
Deal source as unit,Deal_source_as_unit,picklist,✓,,,Lista wyboru,-None-; Konwersja; Nowy,,,,
Dofinansowanie,Dofinansowanie,picklist,✓,,,Lista wyboru,-None-; FENX; KFS; BUR; KPO; inne; nie dotyczy,,,,
Dzień kalkulacji,Dzie_kalkulacji,date,✓,,,Data,,,,,
Email do wysłania ankiety,Email_do_wys_ania_ankiety,email,✓,,,Email,,,,,
Faceboook źródło,Facebook_source,picklist,✓,,,Lista wyboru,-None-; EBook Trudny Pacjent; EBook Zmiany w prawie marketingu medycznego; EBook Zyskowna przychodnia - redukcja kosztów; EBook TTP; general (Opcja 2); Umów spotkanie FB,,,,
Firma Leada w bazie Czy mają system EDM,Firma_Deala_w_bazie_Czy_maja_system_EDM,boolean,✓,,,Checkbox (Boolean),,,,,
Firma Leada w bazie Czy mają system komunikacji?,Firma_Deala_w_bazie_czy_maja_system_komunikacji,boolean,✓,,,Checkbox (Boolean),,,,,
Firma Leada w bazie Czy posiadają inne systemy inf,Firma_Deala_w_bazie_Czy_posiadaja_inne_systemy_inf,boolean,✓,,,Checkbox (Boolean),,,,,
Firma Leada w bazie Dodatkowe info o placowce,Firma_Deala_w_bazie_Dodatkowe_info_o_placowce,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Firma Leada w bazie Dodatkowe info o profilu placo,Firma_Deala_w_bazie_Dodatkowe_info_o_profilu_jedn,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Firma Leada w bazie Dodatkowe info o sys inf,Firma_Deala_w_bazie_Dodatkowe_info_o_posi_syst,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Firma Leada w bazie Informacje o pozostalych sys,Firma_Deala_w_bazie_Informacje_o_pozostalych_sys,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Firma Leada w bazie L gabinetow,Firma_Deala_w_bazie_L_gabinetow,picklist,✓,,,Lista wyboru,-None-; brak informacji; 1-5; 6-10; powyżej 10,,,,
Firma Leada w bazie L osob w rejestracji,Firma_Deala_w_bazie_L_osob_w_rejestracji,picklist,✓,,,Lista wyboru,-None-; brak informacji; 1; 2; 3-5; powyżej 5,,,,
Firma Leada w bazie L stanowisk rejestracji,Firma_Deala_w_bazie_L_stanowisk_rejestracji,picklist,✓,,,Lista wyboru,-None-; brak informacji; 1; 2; 3-5; powyżej 5,,,,
Firma Leada w bazie System EDM,Firma_Deala_w_bazie_System_EDM,picklist,✓,,,Lista wyboru,-None-; - autorski system medyczny -; Alteris; Aurero; Booksy/Aswiss; CGM Clininet; Comarch EDM; Doctor Eleks; Dr Eryk; Dr Widget / DOC PLANNER; e-gabinet; e-recepcja; Eskulap; Estomed; Eurosoft; Felg-dent; Finezjo; Fizjorejestracja; Gabos; Halo24; iGabinet; Infotel; Interclinic; Ka-medica; Kamsoft; Klinika XP (weterynaria); KS Somed; KS-Medis; m-Pendium; Med-Link; MEDchart; meddo; Medfile; Medicus; Mediporta; MEDsoft; Meedy doctors; mMedica; MyDr; Optimed; Pacjent Plus; PL Med; Proassist; Prodentis; Progart; Progmed; Q Klinka; Radpoint; Seldent; Simple Care; Unison; Versum,,,,
