Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
15powiadomienieTeams,powiadomienieTeams,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
1powiadomienieTeams,powiadomienieTeams1,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
Czy powiązać w bazie osobę z firma?,Czy_powiazac_w_bazie_osobe_z_firma,boolean,✓,,,Checkbox (Boolean),,,,,
Czy przekazuje poza medidesk?,Czy_przekazuje_poza_medidesk,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zaopiekowany namiar?,Czy_zaopiekowany_namiar,boolean,✓,,,Checkbox (Boolean),,,,,
Data Hot Lead,Data_Hot_Lead,date,✓,,,Data,,,,,
Deal utworzony,Deal_utworzony,lookup,✓,,,Lookup,,Deals,,,
Drugie imię,Drugie_imie,text,✓,,,Tekst,,,255,,
E-mail zewnętrzny do przekazania,E_mail_zewnetrzny_do_przekazania,email,✓,,,Email,,,,,
Email pracownika medidesk spoza zoho,Email_pracownika_spoza_zoho,email,✓,,,Email,,,,,
Etap EL,Etap_EL,picklist,✓,,,Lista wyboru,-None-; nowy; po analizie danych (Po analizie danych); informacja czy akcja?; dział przejmujący (Dział przejmujący); akcja; utworzony Lead/Deal (Utworzony rekord); informacja (w trakcie przetwarzania); przetworzony; odpad,,,,
Facebook,Facebook_source,picklist,✓,,,Lista wyboru,-None-; EBook Trudny Pacjent; EBook Zmiany w prawie marketingu medycznego; EBook Zyskowna przychodnia - redukcja kosztów; EBook TTP; general (Opcja 2); Umów spotkanie FB,,,,
Firma polecająca,Polecenie_firma,lookup,✓,,,Lookup,,Accounts,,,
Firma z formularza,Firma_z_formularza,text,✓,,,Tekst,,,255,,
Firma zewnętrzna przejmująca,Firma_zewnetrzna_przejmujaca,lookup,✓,,,Lookup,,Accounts,,,
Forma Hot Lead,Forma_Hot_Lead,picklist,✓,,,Lista wyboru,-None-; Telefonicznie; Pisemnie,,,,
Hot Lead?,Hot_Lead,boolean,✓,,,Checkbox (Boolean),,,,,
Imie i nazwisko z formularza,Imie_i_nazwisko_z_formularza,formula,✓,,✓,Formuła,,,,,
Imię,Imie,text,✓,,,Tekst,,,255,,
Jaki dział przejmuje?,Jaki_dzial_przejmuje,picklist,✓,,,Lista wyboru,-None-; Szkolenia; PreSales; Sales; RIO; Administracja; Partnership; Inny w ramach medidesk (Inny); Inny spoza medidesk,,,,
Konferencja,Konferencja,picklist,✓,,,Lista wyboru,-None-; Konferencja medidesk; Konferencja zewnętrzna,,,,
Konferencja medidesk,Konferencja_medidesk,picklist,✓,,,Lista wyboru,-None-; 202509 AMOZ X; 202509 AMOZ Xjj (data nazwa wydarzenia),,,,
Konferencja zewnętrzna,Konferencja_zewnetrzna,picklist,✓,,,Lista wyboru,-None-; 20250410 Krakdent (data nazwa wydarzenia); 202510 Dolmed; 202510 Comarch,,,,
Kto zaopiekował się namiarem?,Kto_zaopiekowal_sie_namiarem,userlookup,✓,,,Użytkownik,,,,,
Lead utworzony,Lead_utworzony,lookup,✓,,,Lookup,,Leads,,,
Lead_Source,Lead_Source,picklist,✓,,,Lista wyboru,-None-; Inbound (Social Media); Outbound; Facebook; Twitter,,,,
Liczba gabinetów,L_gabinetow,picklist,✓,,,Lista wyboru,-None-; brak informacji; 1-5; 6-10; powyżej 10,,,,
Liczba osób w rejestracji,L_osob_w_rejestracji,picklist,✓,,,Lista wyboru,-None-; brak informacji; 1; 2; 3-5; powyżej 5,,,,
Liczba stanowisk rejestracji,L_stanowisk_rejestracji,picklist,✓,,,Lista wyboru,-None-; brak informacji; 1; 2-3; powyżej 3,,,,
NIP,NIP,text,✓,,,Tekst,,,255,,
Nazwisko,Nazwisko,text,✓,,,Tekst,,,255,,
Notatki przy przekazaniu,Notatki_przy_przekazaniu,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Osoba kontynuująca komunikację,Osoba_kontynuujaca_komunikacje,userlookup,✓,,,Użytkownik,,,,,
Osoba przejmująca z innej firmy,Osoba_przejmujaca_z_innej_firmy,lookup,✓,,,Lookup,,Contacts,,,
Outbound_Inbound,Outbound_Inbound,picklist,✓,,,Lista wyboru,-None-; Outbound; Inbound,,,,
Partner polecający,Polecenie_partner,lookup,✓,,,Lookup,,Accounts,,,
Pobrał EBooka FB,Pobral_EBooka_FB,boolean,✓,,,Checkbox (Boolean),,,,,
Pobrał EBooka FB Data,Pobral_EBooka_FB_data,date,✓,,,Data,,,,,
Polecenie,Polecenie,picklist,✓,,,Lista wyboru,-None-; Firma polecająca (Zewnętrzne); Pracownik medidesk (Pracownik medidesk/Wewnętrzne); Partner polecający (Partner),,,,
Polityka prywatności treść,Tresc_polityki_prywatnosci,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Powiązanie Firmy z bazy,Firma_w_bazie,lookup,✓,,,Lookup,,Accounts,,,
Powiązanie Kontaktu z bazy,Kontakt_w_bazie,lookup,✓,,,Lookup,,Contacts,,,
Pracownik polecający,Polecenie_pracownik,userlookup,✓,,,Użytkownik,,,,,
Rekord testowy,Rekord_testowy,boolean,✓,,,Checkbox (Boolean),,,,,
Strona internetowa medidesk,Strona_internetowa_medidesk,picklist,✓,,,Lista wyboru,-None-; Umów spotkanie; Medidesk EDU audyty (Medidesk edu); Medidesk EDU kontakt; Medidesk EDU szkolenia; Medidesk EDU Audyt obsługi pacjenta; Medidesk Kontakt PL (Medidesk); Medidesk Kontakt EN; FB; LinkedIn; Audyt Tajemniczego Pacjenta 202503; Audyt Marketingowy 202503; techniczny; Program partnerski Marek; EBook Trudny Pacjent; Medidesk agresja w placówkach medycznych; Meddiesk 3.0; Integracja z Medfile; SMS Campaign; Email biuro,,,,
Szkolenia Medidesk EDU,Zakres_szkolenia,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,"Radzenie sobie ze stresem; Komunikacja z pacjentem; Empatyczna komunikacja (NVC); Konsultacja – nie wiem, co wybrać",,,,
Telefon komórkowy,Telefon_komorkowy,phone,✓,,,Telefon,,,,,
Telefon stacjonarny,Telefon_stacjonarny,phone,✓,,,Telefon,,,,,
Treść wiadomości z formularza,Tresc_wiadomosci_z_formularza,textarea,✓,,,Tekst wielowierszowy,,,2000,,
