Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Forma spotkania,Forma_Spotkania,picklist,✓,,,Lista wyboru,-None-; online; field (offline),,,,
Link do spotkania Teams,Link_do_spotkania_Teams,website,✓,,,URL,,,,,
PreSales,PreSales,text,✓,,,Tekst,,,255,,
Produkt,Produkt,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,medidesk; vetidesk; szkolenia; bot,,,,
Status spotkania wg medidesk,Spotkanie_status,picklist,✓,,,Lista wyboru,-None-; Umówione; Przełożone/Nieodbyte; Odbyte; No show; Anulowane; Po terminie - brak aktualizacji (Przeterminowane),,,,
Typ spotkania,Typ_spotkania,picklist,✓,,,Lista wyboru,-None-; Spotkanie I; Spotkanie kolejne; Spotkanie inne; Spotkanie przedwdrożeniowe; Spotkanie wdrożeniowe,,,,
Wynik spotkania,Wynik_spotkania,picklist,✓,,,Lista wyboru,-None-; Prośba o więcej informacji; Przygotowanie/Aktualizacja oferty; Inne; Anulowanie projektu; No show; Przygotowanie prezentacji,,,,
Adres zaewidencjonowany,Check_In_Address,textarea,,,✓,Tekst wielowierszowy,,,2000,,
Cały dzień,All_day,boolean,,,,Checkbox (Boolean),,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Data i godzina rozpoczęcia,Start_DateTime,datetime,,,,Data i czas,,,,,
Data i godzina zakończenia,End_DateTime,datetime,,,,Data i czas,,,,,
Działania powtarzające się,Recurring_Activity,RRULE,,,,RRULE,,,,,
Długość geograficzna,Longitude,double,,,✓,double,,,,,
Godzina zaewidencjonowania,Check_In_Time,datetime,,,✓,Data i czas,,,,,
Host,Owner,ownerlookup,,,,Właściciel,,,,,
Kod pocztowy,ZIP_Code,text,,,✓,Tekst,,,30,,
Komentarz do zaewidencjonowania,Check_In_Comment,textarea,,,✓,Tekst wielowierszowy,,,3000,,
Kraj zaewidencjonowania,Check_In_Country,text,,,✓,Tekst,,,100,,
Miejsce,Venue,text,,,,Tekst,,,255,,
Miejscowość zaewidencjonowania,Check_In_City,text,,,✓,Tekst,,,100,,
Nazwa kontaktu,Who_Id,lookup,,,,Lookup,,Contacts,,,
Nazwa spotkania,Event_Title,text,,,,Tekst,,,255,,
Opis,Description,textarea,,,,Tekst wielowierszowy,,,32000,,
Podrzędna lokalizacja zaewidencjonowana,Check_In_Sub_Locality,text,,,✓,Tekst,,,250,,
Powiązany z,What_Id,lookup,,,,Lookup,,se_module,,,
Przypomnij o,Remind_At,multireminder,,,,multireminder,,,,,
Status Spotkania,Check_In_State,text,,,✓,Tekst,,,100,,
Status zaewidencjonowany,Check_In_Status,text,,,✓,Tekst,,,30,,
Szerokość geograficzna,Latitude,double,,,✓,double,,,,,
Uczestnicy,Participants,bigint,,,,Liczba (duża),,,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Zaewidencjonowane przez,Check_In_By,ownerlookup,,,✓,Właściciel,,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
