Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Adres Email,Email,email,,,,Email,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
GRUPA - nazwa,Name,text,,,,Tekst,,,120,,
GRUPA Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Obraz GRUPA,Record_Image,profileimage,,,,profileimage,,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
Zrezygnuj z otrzymania emaila,Email_Opt_Out,boolean,,,,Checkbox (Boolean),,,,,
