Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
7500Z,PKD_7500Z,boolean,✓,,,Checkbox (Boolean),,,,,
8610Z,PKD_8610Z,boolean,✓,,,Checkbox (Boolean),,,,,
8621Z,PKD_8621Z,boolean,✓,,,Checkbox (Boolean),,,,,
8622Z,PKD_8622Z,boolean,✓,,,Checkbox (Boolean),,,,,
8623Z,PKD_8623Z,boolean,✓,,,Checkbox (Boolean),,,,,
8690A,PKD_8690A,boolean,✓,,,Checkbox (Boolean),,,,,
8690B,PKD_8690B,boolean,✓,,,Checkbox (Boolean),,,,,
8690C,PKD_8690C,boolean,✓,,,Checkbox (Boolean),,,,,
8690D,PKD_8690D,boolean,✓,,,Checkbox (Boolean),,,,,
8690E,PKD_8690E,boolean,✓,,,Checkbox (Boolean),,,,,
8691A,PKD_8691A,boolean,✓,,,Checkbox (Boolean),,,,,
8691B,PKD_8691B,boolean,✓,,,Checkbox (Boolean),,,,,
8692Z,PKD_8692Z,boolean,✓,,,Checkbox (Boolean),,,,,
8693Z,PKD_8693Z,boolean,✓,,,Checkbox (Boolean),,,,,
8694Z,PKD_8694Z,boolean,✓,,,Checkbox (Boolean),,,,,
8695Z,PKD_8695Z,boolean,✓,,,Checkbox (Boolean),,,,,
8696Z,PKD_8696Z,boolean,✓,,,Checkbox (Boolean),,,,,
8697Z,PKD_8697Z,boolean,✓,,,Checkbox (Boolean),,,,,
8699A,PKD_8699A,boolean,✓,,,Checkbox (Boolean),,,,,
8699B,PKD_8699B,boolean,✓,,,Checkbox (Boolean),,,,,
8699C,PKD_8699C,boolean,✓,,,Checkbox (Boolean),,,,,
8699D,PKD_8699D,boolean,✓,,,Checkbox (Boolean),,,,,
9601Z,PKD_9601Z,boolean,✓,,,Checkbox (Boolean),,,,,
9602Z,PKD_9602Z,boolean,✓,,,Checkbox (Boolean),,,,,
9603Z,PKD_9603Z,boolean,✓,,,Checkbox (Boolean),,,,,
9604Z,PKD_9604Z,boolean,✓,,,Checkbox (Boolean),,,,,
9609Z,PKD_9609Z,boolean,✓,,,Checkbox (Boolean),,,,,
9621Z,PKD_9621Z,boolean,✓,,,Checkbox (Boolean),,,,,
9622Z,PKD_9622Z,boolean,✓,,,Checkbox (Boolean),,,,,
9623Z,PKD_9623Z,boolean,✓,,,Checkbox (Boolean),,,,,
Branża,Branza,picklist,✓,,,Lista wyboru,-None-; Agencje reklamowe (Placówka medyczna); Fundacja/Stowarzyszenie/Spółdzielnia (Konkurencja); Kancelaria prawna (Partner); Media/Eventy medyczne (Okołomedyczne inne); Okołomedyczne inne (Poddostawca); Sprzedaż sprzętu i jednorazówki medycznej (Pozostałe); Szkolenia/Consulting; Edukacja kliniczna (Edukacja medyczna); Usługi finansowe; Wdrożeniowiec systemów medycznych; Inne; Dystrybutor,,,,
Data powstania,Data_powstania,date,✓,,,Data,,,,,
Data rozpoczęcia działalności,data_rozpoczecia_dzialalnosci,date,✓,,,Data,,,,,
Data skreślenia z REGON,data_skreslenia_z_REGON,date,✓,,,Data,,,,,
Data wpisu do REGON,data_wpisu_do_REGON,date,✓,,,Data,,,,,
Data wpisu do rejestru lub ewidencji,data_wpisu_do_rejestru_lub_ewidencji,date,✓,,,Data,,,,,
Data wznowienia działalności,data_wznowienia_dzialalnosci,date,✓,,,Data,,,,,
Data zakończenia działalności,data_zakonczenia_dzialalnosci,date,✓,,,Data,,,,,
Data zawieszenia działalności,data_zawieszenia_dzialalnosci,date,✓,,,Data,,,,,
F rodz. działalności,F_rodz_dzialalnosci,boolean,✓,,,Checkbox (Boolean),,,,,
Firma,Firma,lookup,✓,,,lookup,,,,,
Firmy,Firmy,multiselectlookup,✓,,,multiselectlookup,,,,,
Forma finansowania,Forma_finansowania,text,✓,,,Tekst,,,255,,
Forma własności,Forma_wlasnosci,text,✓,,,Tekst,,,255,,
Historia rekordu,Historia_rekordu,textarea,✓,,,Tekst wielowierszowy z formatowaniem HTML,,,50000,,
KRS,KRS,text,✓,,,Tekst,,,255,,
Kategoria konta firmy,Kategoria_konta_firmy,picklist,✓,,,Lista wyboru,-None-; Option 1; Option 2,,,,
Kod i nazwa formy własności,Kod_i_nazwa_formy_wlasnosci,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Kod i nazwa podstawowej formy prawnej,Kod_i_nazwa_podstawowej_formy_prawnej,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Kod i nazwa szczególnej formy prawnej,Kod_i_nazwa_szczegolnej_formy_prawnej,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Liczba jednostek lokalnych,Liczba_jednostek_lokalnych,integer,✓,,,Liczba całkowita,,,,,
Nazwa firmy,Nazwa_firmy,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Nazwa handlowa szyld,Nazwa_handlowa_szyld,text,✓,,,Tekst,,,255,,
Organ rejestrowy,Organ_rejestrowy,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Organ założycielski,Organ_zalozycielski,textarea,✓,,,Tekst wielowierszowy,,,2000,,
P rodz. działalności,P_rodz_dzialalnosci,boolean,✓,,,Checkbox (Boolean),,,,,
PKD1 kod,PKD1_kod,text,✓,,,Tekst,,,255,,
PKD1 nazwa,PKD1_nazwa,text,✓,,,Tekst,,,255,,
Podstawowa forma prawna,Podstawowa_forma_prawna,text,✓,,,Tekst,,,255,,
Płatnik usług,Platnik_uslug,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,NFZ; Ubezpieczenie; Komercyjne,,,,
REGON,REGON,text,✓,,,Tekst,,,255,,
REGON Drugie imię,REGON_Drugie_imie,text,✓,,,Tekst,,,255,,
REGON Imię,REGON_Imie,text,✓,,,Tekst,,,255,,
REGON Nazwisko,REGON_Nazwisko,text,✓,,,Tekst,,,255,,
REGON adres email,REGON_adres_email,email,✓,,,Email,,,,,
REGON adres www,REGON_adres_www,website,✓,,,URL,,,,,
REGON numer telefonu,REGON_numer_telefonu,phone,✓,,,Telefon,,,,,
Rodzaj działalności REGON,Rodzaj_dzialalnosci_REGON,picklist,✓,,,Lista wyboru,-None-; Option 1; Option 2,,,,
Rodzaj rejestru lub ewidencji,Rodzaj_rejestru_lub_ewidencji,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Siedziba  Gmina,Siedziba_Gmina,text,✓,,,Tekst,,,255,,
Siedziba  Kod pocztowy,Siedziba_Kod_pocztowy,text,✓,,,Tekst,,,255,,
Siedziba  Kraj,Siedziba_Kraj,picklist,✓,,,Lista wyboru,-None-; Option 1; Option 2,,,,
Siedziba  Miejscowość,Siedziba_Miejscowosc,text,✓,,,Tekst,,,255,,
Siedziba  Nr domu,Siedziba_Nr_domu,text,✓,,,Tekst,,,255,,
Siedziba  Nr lokalu,Siedziba_Nr_lokalu,text,✓,,,Tekst,,,255,,
Siedziba  Powiat,Siedziba_Powiat,text,✓,,,Tekst,,,255,,
Siedziba  Ulica,Siedziba_Ulica,text,✓,,,Tekst,,,255,,
Siedziba  Ulica dom lokal,Siedziba_Ulica_dom_lokal,text,✓,,,Tekst,,,255,,
