Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Firma z formularza,Firma_z_formularza,text,✓,,,Tekst,,,255,,
Imię,Imie,text,✓,,,Tekst,,,255,,
NIP,NIP,text,✓,,,Tekst,,,255,,
Nazwisko,Nazwisko,text,✓,,,Tekst,,,255,,
Telefon komórkowy,Telefon_komorkowy,phone,✓,,,Telefon,,,,,
Telefon stacjonarny,Telefon_stacjonarny,phone,✓,,,Telefon,,,,,
Zwrot grzecznościowy,Plec,picklist,✓,,,Lista wyboru,-None-; Pan; Pani,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas trwania (dni),Duration_Days,integer,,,,Liczba całkowita,,,,,
Etap EL,Etap_EL,picklist,,,,Lista wyboru,-None-; nowy; informacja (w trakcie przetwarzania); przetworzony; odpad; utworzony Lead/Deal (Utworzony rekord); po analizie danych (Po analizie danych); akcja; informacja czy akcja?; dział przejmujący (Dział przejmujący),,,,
Historia Etap EL - nazwa,CustomModule_Name,lookup,,,,Lookup,,Edu_Leads,,,
Kurs wymiany,Exchange_Rate,double,,,✓,double,,,,,
Przeniesiono do,Moved_To__s,picklist,,,,Lista wyboru,-None-; nowy; informacja (w trakcie przetwarzania); przetworzony; odpad; utworzony Lead/Deal (Utworzony rekord); po analizie danych (Po analizie danych); akcja; informacja czy akcja?; dział przejmujący (Dział przejmujący),,,,
Waluta,Currency,picklist,,,,Lista wyboru,PLN; USD; EUR,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
