Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Czy zaopiekowany namiar?,Czy_zaopiekowany_namiar,boolean,✓,,,Checkbox (Boolean),,,,,
Imię,Imi,text,✓,,,Tekst,,,255,,
Jaki dział przejmuje?,Komu_przekazujemy,picklist,✓,,,Lista wyboru,-None-; PreSales (Lead); Sales (Deal); RIO; Administracja; Partnership; Szkolenia,,,,
Kto zaopiekował się namiarem?,Kto_zaopiekowa_si_namiarem,userlookup,✓,,,Użytkownik,,,,,
Nazwisko,Nazwisko,text,✓,,,Tekst,,,255,,
Osoba kontynuujaca komunikacje,Osoba_kontynuujaca_komunikacje,userlookup,✓,,,Użytkownik,,,,,
Telefon komórkowy,Telefon_kom_rkowy,phone,✓,,,Telefon,,,,,
Telefon stacjonarny,Telefon_stacjonarny,phone,✓,,,Telefon,,,,,
Treść wiadomości z formularza,Tresc_wiadomosci_z_formularza,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas trwania (dni),Duration_Days,integer,,,,Liczba całkowita,,,,,
Etap kwalifikacji HL,Etapik,picklist,,,,Lista wyboru,-None-; odpad (odpadek); nowy; przetworzony; informacja (w trakcie przetwarzania); po analizie danych (weryfikacja powiązań); utworzony Lead/Deal (Utwórz rekord); informacja czy akcja ? (Informacja czy Akcja); akcja (Akcja),,,,
Historia Etap kwalifikacji HL - nazwa,CustomModule_Name,lookup,,,,Lookup,,Marketing_Leads,,,
Przeniesiono do,Moved_To__s,picklist,,,,Lista wyboru,-None-; odpad (odpadek); nowy; przetworzony; informacja (w trakcie przetwarzania); po analizie danych (weryfikacja powiązań); utworzony Lead/Deal (Utwórz rekord); informacja czy akcja ? (Informacja czy Akcja); akcja (Akcja),,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
