Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Adres rejestrowy,Adres_rejestrowy,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Kod pocztowy,Kod_pocztowy,text,✓,,,Tekst,,,255,,
Miejscowosc,Miejscowosc,text,✓,,,Tekst,,,255,,
NIP,NIP,text,✓,,,Tekst,,,255,,
Nazwa rejestrowa,Nazwa_rejestrowa,text,✓,,,Tekst,,,255,,
Nazwa zwyczajowa,Nazwa_zwyczajowa,text,✓,,,Tekst,,,255,,
Nowa Firma,Nowa_Firma,lookup,✓,,,Lookup,,Accounts,,,
REGON,REGON,text,✓,,,Tekst,,,255,,
Strona internetowa,Strona_internetowa,website,✓,,,URL,,,,,
Ulica,Ulica,text,✓,,,Tekst,,,255,,
Adres Email,Email,email,,,,Email,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Historyczne Dane Firmy - nazwa,Name,autonumber,,,,Autonumer,,,,,
Historyczne Dane Firmy Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Obraz Historyczne Dane Firmy,Record_Image,profileimage,,,,profileimage,,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
Zrezygnuj z otrzymania emaila,Email_Opt_Out,boolean,,,,Checkbox (Boolean),,,,,
