Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Cena zalecana przez wytwórcę,List_Price,currency,,,,Waluta,,,,,
Cennik wszystkich dostawców,Price_Book_Name,lookup,,,,Lookup,,Price_Books,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Identyfikator elementu nadrzędnego,Parent_Id,lookup,,,✓,Lookup,,Invoices,,,
Ilość,Quantity,double,,,,double,,,,,
Nazwa produktu,Product_Name,lookup,,,,Lookup,,Products,,,
Nr serii,Sequence_Number,bigint,,,,Liczba (duża),,,,,
Opis,Description,textarea,,,,Tekst wielowierszowy,,,2000,,
Podatek,Tax,currency,,,,Waluta,,,,,
Podatek w ujęciu procentowym,Line_Tax,linetax,,,,linetax,,,,,
Rabat,Discount,currency,,,,Waluta,,,,,
Suma,Net_Total,formula,,,✓,Formuła,,,,,
Suma z uwzględnieniem rabatu,Total_After_Discount,formula,,,✓,Formuła,,,,,
Wartość ogółem,Total,formula,,,✓,Formuła,,,,,
