Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Akcyza,Excise_Duty,currency,,,,Waluta,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Data faktury,Invoice_Date,date,,,,Data,,,,,
Filia - Kod pocztowy,Shipping_Code,text,,,,Tekst,,,30,,
Filia - Kraj,Shipping_Country,text,,,,Tekst,,,100,,
Filia - Miejscowość,Shipping_City,text,,,,Tekst,,,100,,
Filia - Ulica,Shipping_Street,text,,,,Tekst,,,250,,
Filia - Województwo,Shipping_State,text,,,,Tekst,,,100,,
Korekta,Adjustment,currency,,,,Waluta,,,,,
Kurs wymiany,Exchange_Rate,double,,,✓,double,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Nazwa Deala,Deal_Name__s,lookup,,,,Lookup,,Deals,,,
Nazwa firmy,Account_Name,lookup,,,,Lookup,,Accounts,,,
Nazwa kontaktu,Contact_Name,lookup,,,,Lookup,,Contacts,,,
Numer faktury,Invoice_Number,autonumber,,,✓,Autonumer,,,,,
Opis,Description,textarea,,,,Tekst wielowierszowy,,,32000,,
Podatek,Tax,currency,,,,Waluta,,,,,
Prowizja sprzedaży,Sales_Commission,currency,,,,Waluta,,,,,
Rabat,Discount,currency,,,,Waluta,,,,,
Siedziba - Kod pocztowy,Billing_Code,text,,,,Tekst,,,30,,
Siedziba - Kraj,Billing_Country,text,,,,Tekst,,,100,,
Siedziba - Miejscowość,Billing_City,text,,,,Tekst,,,100,,
Siedziba - Ulica,Billing_Street,text,,,,Tekst,,,250,,
Siedziba - Województwo,Billing_State,text,,,,Tekst,,,100,,
Status,Status,picklist,,,,Lista wyboru,Utworzone (Created); Zatwierdzone (Approved); Dostarczone (Delivered); Anulowane (Cancelled),,,,
Suma częściowa,Sub_Total,formula,,,✓,Formuła,,,,,
Suma końcowa,Grand_Total,formula,,,✓,Formuła,,,,,
Temat,Subject,text,,,,Tekst,,,120,,
Termin wykonania,Due_Date,date,,,,Data,,,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Waluta,Currency,picklist,,,,Lista wyboru,PLN; USD; EUR,,,,
Warunki i postanowienia,Terms_and_Conditions,textarea,,,,Tekst wielowierszowy,,,32000,,
Właściciel faktury,Owner,ownerlookup,,,,Właściciel,,,,,
Zafakturowane towary,Invoiced_Items,subform,,,,subform,,,,,
Zamówienie sprzedaży,Sales_Order,lookup,,,,Lookup,,Sales_Orders,,,
Zamówienie zakupu,Purchase_Order,text,,,,Tekst,,,120,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
