Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Abonament,Klient_medidesk_vetidesk,boolean,✓,,,Checkbox (Boolean),,,,,
Adres AŚU,Adres_Filii,text,✓,,,Tekst,,,255,,
Adres Płatnika,Adres_Siedziby,text,✓,,,Tekst,,,255,,
Bot,Klient_bot,boolean,✓,,,Checkbox (Boolean),,,,,
Czy umowa terminowa?,Czy_umowa_terminowa,boolean,✓,,,Checkbox (Boolean),,,,,
Email3,Email3,email,✓,,,Email,,,,,
Firma AŚU,Firma_ASU,lookup,✓,,,Lookup,,Accounts,,,
Firma Płatnik,Firma_Platnik,lookup,✓,,,Lookup,,Accounts,,,
Form,Form,subform,✓,,,subform,,,,,
ID aplikacji medidesk,ID_aplikacji_medidesk,text,✓,,,Tekst,,,255,,
ID rekord aplikacji ksiegowej,ID_rekord_aplikacji_ksiegowej,text,✓,,,Tekst,,,255,,
NIP Płatnika,NIP_P_atnika,text,✓,,,Tekst,,,255,,
NIP Płatnika APKA,NIP_P_atnika_APKA,text,✓,,,Tekst,,,255,,
Opiekun z RIO,Opiekun_RIO,picklist,✓,,,Lista wyboru,-None-; Aleksandra Dziekańska; Izabela Matysiak; Karolina Kopeć; Karolina Ponikły; Paulina Domżalska; Nieprzydzielony (nieprzydzielony); Umowa wygasła; Nie dotyczy (nie dotyczy),,,,
Produkt Klienta,Produkt_Klienta,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,medidesk; vetidesk; bot; szkolenia,,,,
Skuteczna Rejestracja,Skuteczna_Rejestracja,date,✓,,,Data,,,,,
Skuteczna Sprzedaż,Skuteczna_Sprzeda,date,✓,,,Data,,,,,
Status Klienta medidesk,Status_Klienta_medidesk,picklist,✓,,,Lista wyboru,-None-; nie jest/nie był (Option 2); nie jest/był; jest; nieokreślono; Option 1,,,,
Szkolenia,Szkolenia,boolean,✓,,,Checkbox (Boolean),,,,,
Termin trwania umowy,Termin_trwania_umowy,date,✓,,,Data,,,,,
Trudny Pacjent,Trudny_Pacjent,date,✓,,,Data,,,,,
bot do,bot_do,date,✓,,,Data,,,,,
bot od,bot_od,date,✓,,,Data,,,,,
medidesk/vetidesk do,medidesk_vetidesk_do,date,✓,,,Data,,,,,
medidesk/vetidesk od,medidesk_vetidesk_od,date,✓,,,Data,,,,,
Adres Email,Email,email,,,,Email,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Data Processing Basis Details,Data_Processing_Basis_Details,consent_lookup,,,,consent_lookup,,,,,
Drugi Email,Secondary_Email,email,,,,Email,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Nazwa Klienta,Name,text,,,,Tekst,,,120,,
Opiekun klienta,Owner,ownerlookup,,,,Właściciel,,,,,
Podstawa przetwarzania danych,Data_Processing_Basis,picklist,,,✓,Lista wyboru,Nie dotyczy (Not Applicable); Słuszny interes (Legitimate Interests); Umowa (Contract); Zobowiązanie prawne (Legal Obligation); Istotny interes (Vital Interests); Interes publiczny (Public Interests); Zgoda — w toku (Pending); Zgoda – oczekiwanie (Awaiting); Zgoda — uzyskano (Obtained); Zgoda — bez odpowiedzi (Not Responded),,,,
