Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Abonament_estymacja,Abonament_estymacja,currency,✓,,,Waluta,,,,,
Adres firmy w bazie,Baza_adres_firmy,textarea,✓,,,Tekst wielowierszowy,,,2000,,
BEmail1 - RODO - wyrażona niezgoda,Baza_Odmowa_RODO_Email_1,boolean,✓,,,Checkbox (Boolean),,,,,
BEmail2 - RODO - wyrażona niezgoda,Baza_Odmowa_RODO_Email_2,boolean,✓,,,Checkbox (Boolean),,,,,
BEmail3 - RODO - wyrażona niezgoda,Baza_Odmowa_RODO_Email_3,boolean,✓,,,Checkbox (Boolean),,,,,
BTMob1 - RODO - wyrażona niezgoda,Baza_Odmowa_RODO_telefon_komorkowy_1,boolean,✓,,,Checkbox (Boolean),,,,,
BTMob2 - RODO - wyrażona niezgoda,Baza_Odmowa_RODO_telefon_komorkowy_2,boolean,✓,,,Checkbox (Boolean),,,,,
BTMob3 - RODO - wyrażona niezgoda,Baza_Odmowa_RODO_telefon_komorkowy_3,boolean,✓,,,Checkbox (Boolean),,,,,
BTStac1 - RODO - wyrażona niezgoda,Baza_Odmowa_RODO_telefon_stacjonarny_1,boolean,✓,,,Checkbox (Boolean),,,,,
BTStac2 - RODO - wyrażona niezgoda,Baza_Odmowa_RODO_telefon_stacjonarny_2,boolean,✓,,,Checkbox (Boolean),,,,,
BTStac3 - RODO - wyrażona niezgoda,Baza_Odmowa_RODO_telefon_stacjonarny_3,boolean,✓,,,Checkbox (Boolean),,,,,
Czy Firma jest w bazie?,Czy_firma_jest_w_bazie,boolean,✓,,,Checkbox (Boolean),,,,,
Czy Kontakt jest w bazie?,Czy_pracownik_jest_w_bazie,boolean,✓,,,Checkbox (Boolean),,,,,
Czy było TTP?,TTP,boolean,✓,,,Checkbox (Boolean),,,,,
Czy pokazać wszystkie dane rekordu?,Czy_pokaza_wszystkie_dane_rekordu,boolean,✓,,,Checkbox (Boolean),,,,,
Dane o firmie,Dane_o_firmie,formula,✓,,✓,Formuła,,,,,
Data Hot Lead,Data_Hot_Lead,date,✓,,,Data,,,,,
Data Meeting I,Meeting_I_date_time,datetime,✓,,,Data i czas,,,,,
Data dyskwalifikacji,Data_dyskwalifikacji,date,✓,,,Data,,,,,
Data konwersji z Leada,Data_konwersji_z_Leada,date,✓,,,Data,,,,,
Deal ID after conversion,Deal_ID_after_conversion,lookup,✓,,,Lookup,,Deals,,,
Deal_URL_after_conversion,Deal_URL_after_conversion,website,✓,,,URL,,,,,
Decyzyjność,Kontakty_wplyw_na_zakupy,text,✓,,,Tekst,,,255,,
Dla Salesa,Dla_Salesa,userlookup,✓,,,Użytkownik,,,,,
Dodatkowy uczestnik 2,Dodatkowy_uczestnik_2,lookup,✓,,,Lookup,,Contacts,,,
Dodatkowy uczestnik 3,Dodatkowy_uczestnik_3,lookup,✓,,,Lookup,,Contacts,,,
Email 1 do firmy,BF_Email_1,email,✓,,,Email,,,,,
Email 1 kontaktu,Baza_Email_1,email,✓,,,Email,,,,,
Email 2 kontaktu,Baza_Email_2,email,✓,,,Email,,,,,
