Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
15powiadomienieTeams,powiadomienieTeams,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
1powiadomienieTeams,powiadomienieTeams1,picklist,✓,,,Lista wyboru,-None-; Tak; Nie,,,,
Brak funkcjonalności,Brak_funkcjonalnosci,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Czy powiązać Kontakt do Firmy?,Czy_powiazac_w_bazie_osobe_z_firma,boolean,✓,,,Checkbox (Boolean),,,,,
Czy zaopiekowany namiar?,Czy_zaopiekowany_namiar,boolean,✓,,,Checkbox (Boolean),,,,,
Data Hot Lead,Data_Hot_Lead,date,✓,,,Data,,,,,
Deal utworzony,Deal_utworzony,lookup,✓,,,Lookup,,Deals,,,
Decyzja co dalej,Decyzja_Partnera,picklist,✓,,,Lista wyboru,-None-; Dalszy kontakt z placówką; Dyskwalifikacja,,,,
Departament,Departament,text,✓,,,Tekst,,,255,,
Drugie imie,Drugie_imie,text,✓,,,Tekst,,,255,,
Etap kwalifikacji HL,Etap_kwalifikacji_HL,picklist,✓,,,Lista wyboru,-None-; odpad (odpadek); nowy; przetworzony; informacja (w trakcie przetwarzania); po analizie danych (weryfikacja powiązań); utworzony Lead/Deal (Utwórz rekord); informacja czy akcja ? (Informacja czy Akcja); akcja (Akcja),,,,
Facebook,Facebook_source,picklist,✓,,,Lista wyboru,-None-; EBook Trudny Pacjent; EBook Zmiany w prawie marketingu medycznego; EBook Zyskowna przychodnia - redukcja kosztów; EBook TTP; general (Opcja 2); Umów spotkanie FB,,,,
Firma,Firma,text,✓,,,Tekst,,,255,,
Firma polecająca,Polecenie_firma,lookup,✓,,,Lookup,,Accounts,,,
Forma Hot Lead,Forma_Hot_Lead,picklist,✓,,,Lista wyboru,-None-; Telefonicznie; Pisemnie,,,,
HTML,HTML,textarea,✓,,,Tekst wielowierszowy,,,32000,,
Hot Lead?,Hot_Lead,boolean,✓,,,Checkbox (Boolean),,,,,
Ids ogółem podobnych,searchResultDeDuplicated,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Ids po wskazanej firmie,existingContactsaccount,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Imię,Imie,text,✓,,,Tekst,,,255,,
Imię i nazwisko z formularza,Imi_i_nazwisko_z_formularza,formula,✓,,✓,Formuła,,,,,
Jaki dział przejmuje?,Komu_przekazujemy,picklist,✓,,,Lista wyboru,-None-; PreSales (Lead); Sales (Deal); RIO; Administracja; Partnership; Szkolenia,,,,
Komunikaty,Komunikaty,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Konferencja,Konferencja,picklist,✓,,,Lista wyboru,-None-; Konferencja medidesk; Konferencja zewnętrzna,,,,
Konferencja medidesk,Konferencja_medidesk,picklist,✓,,,Lista wyboru,-None-; 202509 AMOZ X; 202509 AMOZ Xjj (data nazwa wydarzenia),,,,
Konferencja zewnętrzna,Konferencja_zewnetrzna,picklist,✓,,,Lista wyboru,-None-; 20250410 Krakdent (data nazwa wydarzenia); 202510 Dolmed; 202510 Comarch,,,,
Kto zaopiekował się namiarem?,Kto_zaopiekowal_sie_namiarem,userlookup,✓,,,Użytkownik,,,,,
L gabinetow,L_gabinetow,picklist,✓,,,Lista wyboru,-None-; brak informacji; 1-5; 6-10; powyżej 10,,,,
L osob w rejestracji,L_osob_w_rejestracji,picklist,✓,,,Lista wyboru,-None-; brak informacji; 2; 3-5; powyżej 5,,,,
L stanowisk rejestracji,L_stanowisk_rejestracji,picklist,✓,,,Lista wyboru,-None-; brak informacji; 1; 2-3; powyżej 3,,,,
Lead utworzony,Lead_utworzony,lookup,✓,,,Lookup,,Leads,,,
Lead zreinkarnowany,Lead_zreinkarnowany,lookup,✓,,,Lookup,,Leads,,,
Liczba ogółem podobnych,searchResultDeDuplicatedCount,text,✓,,,Tekst,,,255,,
Liczba po Emailu,existingContactspoemailuCount,text,✓,,,Tekst,,,255,,
Liczba po Telkomorkowym,existingContactsTelkomorkowyCount,text,✓,,,Tekst,,,255,,
Liczba po Telstacjonarnym,existingContactsTelstacjonarnyCount,text,✓,,,Tekst,,,255,,
Liczba po wskazanej firmie,existingContactsaccountCount,text,✓,,,Tekst,,,255,,
NIP,NIP,text,✓,,,Tekst,,,255,,
Nazwisko,Nazwisko,text,✓,,,Tekst,,,255,,
Notatki przy przekazaniu,Notatki_przy_przekazaniu,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Osoba kontynuujaca komunikacje,Osoba_kontynuujaca_komunikacje,userlookup,✓,,,Użytkownik,,,,,
Outbound_Inbound,Outbound_Inbound,picklist,✓,,,Lista wyboru,-None-; Outbound; Inbound,,,,
Partner polecający,Polecenie_partner,lookup,✓,,,Lookup,,Accounts,,,
Pobrał EBooka FB,Pobral_EBooka_FB,boolean,✓,,,Checkbox (Boolean),,,,,
Pobrał EBooka FB Data,Pobral_EBooka_FB_data,date,✓,,,Data,,,,,
Polecenie,Polecenie,picklist,✓,,,Lista wyboru,-None-; Firma polecająca (Zewnętrzne); Pracownik medidesk (Pracownik medidesk/Wewnętrzne); Partner polecający (Partner),,,,
Powiazanie z CC,Powiazanie_z_CC,lookup,✓,,,Lookup,,CallCenter,,,
Powiązanie Firmy z bazy,Firma_w_bazie,lookup,✓,,,Lookup,,Accounts,,,
Powiązanie Kontaktu z bazy,Kontakt_w_bazie,lookup,✓,,,Lookup,,Contacts,,,
Pracownik polecajacy,Polecenie_pracownik,userlookup,✓,,,Użytkownik,,,,,
Przyczyna dyskwalifikacji,Przyczyna_dyskwalifikacji,picklist,✓,,,Lista wyboru,-None-; Brak funkcjonalności; No target - placówka medyczna (No target); No target - działalność niemedyczna; DM - twarde NIE; DM - teraz NIE; DM - brak kontaktu; Brak kontaktu; Bloker rejestracja; Śmieciowe dane,,,,
Pytanie 1,Pytanie_1,text,✓,,,Tekst,,,255,,
Pytanie 2,Pytanie_2,text,✓,,,Tekst,,,255,,
Rekord testowy,Rekord_testowy,boolean,✓,,,Checkbox (Boolean),,,,,
Stanowisko,Stanowisko,text,✓,,,Tekst,,,255,,
