Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Data Hot Lead,Data_Hot_Lead,date,✓,,,Data,,,,,
EtapPPartner,EtapPPartner,picklist,✓,,,Lista wyboru,-None-; nowy; w trakcie przetwarzania; przetworzony; odpad,,,,
Firma,Firma,lookup,✓,,,Lookup,,Accounts,,,
Forma Hot Lead,Forma_Hot_Lead,picklist,✓,,,Lista wyboru,-None-; Pisemnie; Telefonicznie,,,,
Hot Lead?,Hot_Lead,boolean,✓,,,Checkbox (Boolean),,,,,
Imie,Imie,text,✓,,,Tekst,,,255,,
Inbound_Outbound,Inbound_Outbound,picklist,✓,,,Lista wyboru,-None-; Inbound; Outbound,,,,
NIP,NIP,text,✓,,,Tekst,,,255,,
Nazwisko,Nazwisko,text,✓,,,Tekst,,,255,,
Rekord testowy,Rekord_testowy,boolean,✓,,,Checkbox (Boolean),,,,,
Reprezentant firmy,Reprezentant_firmy,lookup,✓,,,Lookup,,Contacts,,,
Strona internetowa medidesk,Strona_internetowa_medidesk,picklist,✓,,,Lista wyboru,-None-; Umów spotkanie; Medidesk EDU audyty (Medidesk edu); Medidesk EDU kontakt; Medidesk EDU szkolenia; Medidesk EDU Audyt obsługi pacjenta; Medidesk Kontakt PL (Medidesk); Medidesk Kontakt EN; FB; LinkedIn; Audyt Tajemniczego Pacjenta 202503; Audyt Marketingowy 202503; techniczny; Program partnerski Marek; EBook Trudny Pacjent; Medidesk agresja w placówkach medycznych; Meddiesk 3.0; Integracja z Medfile; SMS Campaign; Email biuro,,,,
Telefon komorkowy,Telefon_komorkowy,phone,✓,,,Telefon,,,,,
Tresc polityki prywatnosci,Tresc_polityki_prywatnosci,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Tresc zgoda handlowa,Tresc_zgoda_handlowa,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Tresc zgody marketingowej,Tresc_zgody_marketingowej,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Zgoda handlowa,Zgoda_handlowa,boolean,✓,,,Checkbox (Boolean),,,,,
Zgoda marketingowa,Zgoda_marketingowa,boolean,✓,,,Checkbox (Boolean),,,,,
Zgoda polityka prywatności,Zgoda_polityka_prywatno_ci,boolean,✓,,,Checkbox (Boolean),,,,,
Źródło Partner Inbound,r_d_o_Partner_Inbound,picklist,✓,,,Lista wyboru,-None-; Email na biuro; Telefon na biuro; Telefon na infolinie; Polecenie; Szkolenie; Webinar; Konferencja; LinkedIn; Facebook; Strona internetowa medidesk; Zoho Bookings,,,,
Adres Email,Email,email,,,,Email,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Nazwa PPartnera,Name,text,,,,Tekst,,,120,,
Obraz PPartner,Record_Image,profileimage,,,,profileimage,,,,,
PPartner Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
Zrezygnuj z otrzymania emaila,Email_Opt_Out,boolean,,,,Checkbox (Boolean),,,,,
