Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Cena jednostkowa w PLN po przeliczeniu z waluty,Formula_cena_z_waluty,formula,✓,,✓,Formuła,,,,,
Cena zakupu w PLN,Cena_zakupu_w_PLN,currency,✓,,,Waluta,,,,,
Cena zakupu w walucie,Cena_jednostkowa_w_walucie,double,✓,,,double,,,,,
Dla Deala,Dla_Deala,lookup,✓,,,Lookup,,Deals,,,
Grupa produktowa,Grupa_produktowa,multiselectlookup,✓,,,multiselectlookup,,,,,
Ilosc prefill,Ilosc_prefill,integer,✓,,,Liczba całkowita,,,,,
Kurs dolara USD wg. NBP na dany dzień,usd_exchange_rate_nbp,double,✓,,,double,,,,,
Kurs euro EUR wg. NBP na dany dzień,eur_exchange_rate_nbp,double,✓,,,double,,,,,
Segment wyceny,Segment_wyceny,picklist,✓,,,Lista wyboru,-None-; Opłaty jednorazowe - szkolenia; Opłaty stałe (comiesięczne) - abonament telefoniczny; Dodatkowe usługi dodane do planu cennikowego - bazowa licencja; Dodatkowe usługi dodane do planu cennikowego - licencja PRO; Opłaty jednorazowe - sprzęt telefoniczny; Cennik 2024; Szczegółowy kosztorys opłat jednorazowych dotyczących wdrożenia platformy Medidesk; Opłaty stałe (comiesięczne) - połączenia wychodzące + utrzymanie numerów; Licencja bazowa; Rozszerzenie o dodatkowe usługi; BOT; Inny sprzęt niestandardowy,,,,
Typ opłaty,Typ_oplaty,picklist,✓,,,Lista wyboru,-None-; jednorazowa; cykliczna miesięczna,,,,
Waluta produktu w zakupie,Waluta_produktu_w_zakupie,picklist,✓,,,Lista wyboru,-None-; USD; EUR; PLN,,,,
test,test,currency,✓,,,Waluta,,,,,
text,text,text,✓,,,Tekst,,,255,,
Cena jednostkowa,Unit_Price,currency,,,,Waluta,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Data rozpoczęcia sprzedaży,Sales_Start_Date,date,,,,Data,,,,,
Data rozpoczęcia wsparcia technicznego,Support_Start_Date,date,,,,Data,,,,,
Data zakończenia sprzedaży,Sales_End_Date,date,,,,Data,,,,,
Data zakończenia wsparcia technicznego,Support_Expiry_Date,date,,,,Data,,,,,
Ilość w magazynie,Qty_in_Stock,double,,,,double,,,,,
Ilość w zapotrzebowaniu,Qty_in_Demand,double,,,,double,,,,,
Jednostka,Usage_Unit,picklist,,,,Lista wyboru,sztuka (sztuki); pakiet (wystąpienie); rbg; km; minuta; miesiąc; licencja; dostęp; ilość (Quantity); konto,,,,
Kategoria produktu,Product_Category,picklist,,,,Lista wyboru,-None-; Sprzęt (Hardware); Oprogramowanie (Software); Aplikacje CRM (CRM Applications); Usługi; Szkolenia,,,,
Kod produktu,Product_Code,text,,,,Tekst,,,255,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Nazwa produktu,Product_Name,text,,,,Tekst,,,255,,
Obraz produktu,Record_Image,profileimage,,,,profileimage,,,,,
Opis,Description,textarea,,,,Tekst wielowierszowy,,,32000,,
Osoba odpowiedzialna,Handler,ownerlookup,,,,Właściciel,,,,,
Podatek,Tax,multiselectpicklist,,,,Lista wielokrotnego wyboru,Usługa - 23.0 %; Sprzęt - 23.0 %; Oprogramowanie - 8.0 %,,,,
Podlegające opodatkowaniu,Taxable,boolean,,,,Checkbox (Boolean),,,,,
Poziom prowizji,Commission_Rate,currency,,,,Waluta,,,,,
Producent,Manufacturer,picklist,,,,Lista wyboru,-None-; Yealink (MetBeat Corp.); Medidesk; Systegra,,,,
Produkt Aktywny,Product_Active,boolean,,,,Checkbox (Boolean),,,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Właściciel produktu,Owner,ownerlookup,,,,Właściciel,,,,,
Zamów ponownie,Reorder_Level,double,,,,double,,,,,
Zamówiona ilość,Qty_Ordered,double,,,,double,,,,,
Zmodyfikowane przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
