Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Jednostka,Jednostka_wdrozenie,text,✓,,,Tekst,,,255,,
Segment wyceny,Segment_wyceny_wdrozenie,text,✓,,,Tekst,,,255,,
Total_wzdrozenie,Total_wzdrozenie,formula,✓,,✓,Formuła,,,,,
W pakiecie,W_pakiecie_wdrozenie,integer,✓,,,Liczba całkowita,,,,,
Cena zalecana przez wytwórcę,List_Price,currency,,,,Waluta,,,,,
Cennik wszystkich dostawców,Price_Book_Name,lookup,,,,Lookup,,Price_Books,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Identyfikator elementu nadrzędnego,Parent_Id,lookup,,,✓,Lookup,,Quotes,,,
Ilość,Quantity,double,,,,double,,,,,
NR SER.,Sequence_Number,bigint,,,,Liczba (duża),,,,,
Nazwa produktu,Product_Name,lookup,,,,Lookup,,Products,,,
