Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Abonament miesięczny katalogowo,Abonament_miesieczny_katalogowo,currency,✓,,,Waluta,,,,,
Abonament w ramach pakietu po rabacie,Abonament_w_ramach_pakietu_po_rabacie,currency,✓,,,Waluta,,,,,
Abonament_miesieczny_BASE_SPECJALNE_TELCO,Abonament_miesieczny_BASE_SPECJALNE_TELCO,currency,✓,,,Waluta,,,,,
Abonament_miesieczny_katalogowo_z_pakietami,Abonament_miesieczny_katalogowo_z_pakietami,currency,✓,,,Waluta,,,,,
Aparaty konta voip rejestracja,Aparaty_konta_voip_rejestracja,integer,✓,,,Liczba całkowita,,,,,
Brutto abonament miesieczny,Brutto_abonament_miesieczny,currency,✓,,,Waluta,,,,,
Brutto sprzęt,Brutto_sprzet,formula,✓,,✓,Formuła,,,,,
Chat tekstowy z pacjentem na stronie www,Chat_tekstowy_z_pacjentem_na_stronie_www,boolean,✓,,,Checkbox (Boolean),,,,,
Chat_tekstowy_z_pacjentem_na_stronie_www_cena,Chat_tekstowy_z_pacjentem_na_stronie_www_cena,currency,✓,,,Waluta,,,,,
Czas nagrywania,Czas_nagrywania,picklist,✓,,,Lista wyboru,-None-; 90 dni; 180 dni; 365 dni,,,,
Czas_nagrywania_cena,Czas_nagrywania_cena,currency,✓,,,Waluta,,,,,
Data kalkulacji,Data_kalkulacji,date,✓,,,Data,,,,,
Dodatkowe aparaty konta voip gabinety,Dodatkowe_aparaty_konta_voip_gabinety,integer,✓,,,Liczba całkowita,,,,,
Dodatkowe konta VoIP,Dodatkowe_konta_VoIP,currency,✓,,,Waluta,,,,,
E-mail kontaktu,E_mail_kontaktu,email,✓,,,Email,,,,,
E-mail kontaktu 2,E_mail_kontaktu_2,email,✓,,,Email,,,,,
E-mail kontaktu 3,E_mail_kontaktu_3,email,✓,,,Email,,,,,
Email opiekuna,Email_opiekuna,email,✓,,,Email,,,,,
Formularz interaktywny www zintegrowany z Medidesk,Formularz_interaktywny_www_zintegrowany_z_Medidesk,boolean,✓,,,Checkbox (Boolean),,,,,
Formularz_interaktywny_www_zintegrowany_cena,Formularz_interaktywny_www_zintegrowany_cena,currency,✓,,,Waluta,,,,,
Free SMS koszt,Free_SMS_koszt,currency,✓,,,Waluta,,,,,
Free minuty koszt,Free_minuty_koszt,currency,✓,,,Waluta,,,,,
Free telco ogółem koszt,Free_telco_ogolem_koszt,currency,✓,,,Waluta,,,,,
JSON,JSON,textarea,✓,,,Tekst wielowierszowy,,,32000,,
Liczba kont użytkownikow_loginy,Liczba_kont_uzytkownikow_loginy,integer,✓,,,Liczba całkowita,,,,,
Nazwa kontaktu 3,Nazwa_kontaktu_3,text,✓,,,Tekst,,,255,,
Nazwa_kontaktu_2,Nazwa_kontaktu_2,text,✓,,,Tekst,,,255,,
Nazwa_kontaktu_2_C_ID,Nazwa_kontaktu_2_C_ID,text,✓,,,Tekst,,,255,,
Nazwa_kontaktu_3_C_ID,Nazwa_kontaktu_3_C_ID,text,✓,,,Tekst,,,255,,
Netto abonament miesieczny,Netto_abonament_miesieczny,currency,✓,,,Waluta,,,,,
Netto sprzęt,Suma_netto_sprzet,formula,✓,,✓,Formuła,,,,,
Nowa_kwota_abonament,Nowa_kwota_abonament,currency,✓,,,Waluta,,,,,
Nowa_kwota_szkolenie,Nowa_kwota_szkolenie,currency,✓,,,Waluta,,,,,
Nowa_kwota_wdrozenie,Nowa_kwota_wdrozenie,currency,✓,,,Waluta,,,,,
Numer oferty,Numer_oferty,text,✓,,,Tekst,,,255,,
Opiekun oferty,Opiekun_oferty,userlookup,✓,,,Użytkownik,,,,,
Pakiet SMS PL,Pakiet_SMS_PL,boolean,✓,,,Checkbox (Boolean),,,,,
Pakiet SMS PL koszt,Pakiet_SMS_PL_koszt,currency,✓,,,Waluta,,,,,
Pakiet SMS PL liczba,Pakiet_SMS_PL_liczba,integer,✓,,,Liczba całkowita,,,,,
Pakiet SMS poza PL,Pakiet_SMS_poza_PL,boolean,✓,,,Checkbox (Boolean),,,,,
Pakiet SMS poza PL koszt,Pakiet_SMS_poza_PL_koszt,currency,✓,,,Waluta,,,,,
Pakiet SMS poza PL liczba,Pakiet_SMS_poza_PL_liczba,integer,✓,,,Liczba całkowita,,,,,
Pakiet minut komórkowe,Pakiet_minut_komorkowe,boolean,✓,,,Checkbox (Boolean),,,,,
Pakiet minut komórkowe koszt,Pakiet_minut_komorkowe_koszt,currency,✓,,,Waluta,,,,,
Pakiet minut komórkowe liczba,Pakiet_minut_komorkowe_liczba,integer,✓,,,Liczba całkowita,,,,,
Pakiet minut stacjonarne,Pakiet_minut_stacjonarne,boolean,✓,,,Checkbox (Boolean),,,,,
Pakiet minut stacjonarne liczba,Pakiet_minut_stacjonarne_liczba,integer,✓,,,Liczba całkowita,,,,,
