Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Factor,Factor,double,✓,,,double,,,,,
Product_Category,Product_Category,picklist,✓,,,Lista wyboru,-None-; Sprzęt; Oprogramowanie; Aplikacje CRM; Usługi; Szkolenia; Współczynnik,,,,
Segment_wyceny,Segment_wyceny,picklist,✓,,,Lista wyboru,-None-; Elementy do podstawy abonamentu BASIC; Elementy do podstawy abonamentu PRO,,,,
Typ_oplaty,Typ_oplaty,picklist,✓,,,Lista wyboru,-None-; jednorazowa; cykliczna miesięczna; nie dotyczy,,,,
Unit_Price,Unit_Price,currency,✓,,,Waluta,,,,,
Usage_Unit,Usage_Unit,picklist,✓,,,Lista wyboru,-None-; rbg; licencja; pakiet; %,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Kurs wymiany,Exchange_Rate,double,,,✓,double,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Obraz Special product,Record_Image,profileimage,,,,profileimage,,,,,
Special product - nazwa,Name,text,,,,Tekst,,,120,,
Special product Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Waluta,Currency,picklist,,,,Lista wyboru,PLN; USD; EUR,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
