Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Data/godzina  spotkania,Data_godzina_spotkania,datetime,✓,,,Data i czas,,,,,
"Dodatkowe informacje, wskazowki do testu",Dodatkowe_informacje_wskazowki_do_testu,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Dodatkowe placowki,Dodatkowe_placowki,lookup,✓,,,Lookup,,Accounts,,,
Facebook,Facebook,website,✓,,,URL,,,,,
Finansowanie,Finansowanie,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Komercyjne; NFZ; Ubezpieczenie,,,,
Firma do TTP,Firma_do_TTP,lookup,✓,,,Lookup,,Accounts,,,
Fromularz na stronie www,Fromularz_na_stronie_www,website,✓,,,URL,,,,,
Godziny otwarcia placowki,Godziny_otwarcia_placowki,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Ilosc rejestratorek / grafik rejestracji,Ilosc_rejestratorek_grafik_rejestracji,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Kto prowadzi spotkanie,Kto_prowadzi_spotkanie,boolean,✓,,,Checkbox (Boolean),,,,,
Kto zleca,Kto_zleca,userlookup,✓,,,Użytkownik,,,,,
Numery telefonow,Numery_telefonow,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Potencjalny Klient specyfikacja testu,Potencjalny_Klient_specyfikacja_testu,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,"test standard (w tym dodzwanialność) - spadki, przerwane, umówienie, odwołanie - 12-15 akcji; test TYLKO dodzwanialność (tylko długie spadki - min. 3 min + zapytania jeśli odbiorą - placówka bez komercji); test szkolenie SALES; test dla kilku placówek w jednej prezentacji (ile? - odpowiedź poniżej); inne",,,,
Pracownik Prowadzacy Spotkanie,Pracownik_Prowadzacy_Spotkanie,text,✓,,,Tekst,,,255,,
Pracownik Zlecajacy,Pracownik_Zlecajacy,text,✓,,,Tekst,,,255,,
Specjalizacja,Specjalizacja,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,POZ; Przychodnia Wielospecjalistyczna; Szpital; Weterynaria; Medycyna Estetyczna; Stomatologia; Diagnostyka; Poradnia Zdrowia Psychicznego; Rehabilitacja,,,,
Specjalizacje priorytetowe,Specjalizacje_priorytetowe,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Strona internetowa,Strona_internetowa,website,✓,,,URL,,,,,
Typ wlasnosci,Typ_wlasnosci,picklist,✓,,,Lista wyboru,-None-; Prywatny; Partnerstwo PP; Publiczny,,,,
W jakich godzinach wykonywac test?,W_jakich_godzinach_wykonywac_test,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Wielospecjalistyczne,Wielospecjalistyczne,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,chirurgia ogólna; chirurgia plastyczna; gastroenterologia; ginekologia/położnictwo/leczenie niepłodności; kardiologia; laryngologia; okulistyka; ortopedia,,,,
Adres Email,Email,email,,,,Email,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Data Processing Basis Details,Data_Processing_Basis_Details,consent_lookup,,,,consent_lookup,,,,,
Drugi Email,Secondary_Email,email,,,,Email,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Obraz TTP,Record_Image,profileimage,,,,profileimage,,,,,
