Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Hot Lead?,Hot_Lead,boolean,✓,,,Checkbox (Boolean),,,,,
Termin kontaktu z Hot Lead,Termin_kontaktu_z_Hot_Lead,datetime,✓,,,Data i czas,,,,,
Typ zadania,Typ_zadania,picklist,✓,,,Lista wyboru,-None-; Email; SMS; Wysłać ofertę; Umówić spotkanie; Zlecić TTP; Własne/Inne; Przypomnienie o aktualizacji/systemowe,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas zamknięcia,Closed_Time,datetime,,,,Data i czas,,,,,
Działania powtarzające się,Recurring_Activity,RRULE,,,,RRULE,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Nazwa kontaktu,Who_Id,lookup,,,,Lookup,,Contacts,,,
Opis,Description,textarea,,,,Tekst wielowierszowy,,,32000,,
Powiązane z,What_Id,lookup,,,,Lookup,,se_module,,,
Priorytet,Priority,picklist,,,,Lista wyboru,Wysoki (High); Normalny (Normal); Niski (Low); Najniższy (Lowest); Najwyższy (Highest),,,,
Przypomnij o,Remind_At,ALARM,,,,ALARM,,,,,
Status,Status,picklist,,,,Lista wyboru,Nierozpoczęte (Not Started); Odłożone (Deferred); W trakcie (In Progress); Ukończone (Completed); Oczekujące (Waiting on someone else),,,,
Temat,Subject,text,,,,Tekst,,,255,,
Termin wykonania,Due_Date,date,,,,Data,,,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Wyślij wiadomość email z powiadomieniem,Send_Notification_Email,boolean,,,,Checkbox (Boolean),,,,,
Właściciel zadania,Owner,ownerlookup,,,,Właściciel,,,,,
Zmodyfikowane przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
