Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Polska numery komorkowe,Polska_numery_komorkowe,currency,✓,,,Waluta,,,,,
Polska numery stacjonarne,Polska_numery_stacjonarne,currency,✓,,,Waluta,,,,,
SMS na polskie numery,SMS_na_polskie_numery,currency,✓,,,Waluta,,,,,
SMS na zagraniczne numery,SMS_na_zagraniczne_numery,currency,✓,,,Waluta,,,,,
Segment uslugi telco,Segment_uslugi_telco,picklist,✓,,,Lista wyboru,-None-; Połączenia wychodzące u operatora Medidesk; Utrzymanie linii telefonu; Wysyłka SMS-a; Utrzymanie linii SMS,,,,
Taryfa,Taryfa,picklist,✓,,,Lista wyboru,-None-; Nowy; dla VF; VIP; VIP+; Premium; Premium+; Gold; Utrzymanie,,,,
Utrzymanie numeru telefonu komorkowego SMSy za num,Utrzymanie_numeru_telefonu_komorkowego_SMSy_za_num,currency,✓,,,Waluta,,,,,
Utrzymanie numeru telefonu stacjonarnego za numer,Utrzymanie_numeru_telefonu_stacjonarnego_za_numer,currency,✓,,,Waluta,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Kurs wymiany,Exchange_Rate,double,,,✓,double,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Nazwa uslugi telco,Name,text,,,,Tekst,,,120,,
Telco Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Waluta,Currency,picklist,,,,Lista wyboru,PLN; USD; EUR,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
