Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Dotyczy_Deala,Dotyczy_Deala,lookup,✓,,,Lookup,,Deals,,,
Dotyczy_Leada,Dotyczy_Leada,lookup,✓,,,Lookup,,Leads,,,
Firma,Firma,lookup,✓,,,Lookup,,Accounts,,,
Gosc,Gosc,lookup,✓,,,Lookup,,Contacts,,,
Opis_Notatka,Opis_Notatka,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Typ aktywności,Typ_aktywno_ci,picklist,✓,,,Lista wyboru,-None-; Call; Mail; Scheduled meeting; Registration call; Decision Maker; TTP; SMS; follow up; follow up before meeting; P: Opening conversation; P: Meeting in office; wewnętrznie zadania; Call I; Meeting I; Meeting II; No Show; Email sent; Open/Field; MKT Alert; Meeting (guest); Welcome phone; check channel; P:Call conversation; P: Mail; Meeting Scheduled; P: Small talk; P: Check Status; P: Meeting outside; Status; Offer sent; P: Call Conversation / P: Opening Convesartion; P: SMS; P: Not interested; LinkedIn communication; P: Welcome mail Medifriend; First Contact; Meeting Request; Scheduled TTP; Szkolenie; Meeting/No show; MKTG Alert,,,,
Updated,Updated,datetime,✓,,,Data i czas,,,,,
Utworzono,Created,datetime,✓,,,Data i czas,,,,,
Wykonano,Wykonano,boolean,✓,,,Checkbox (Boolean),,,,,
Zakończone,FInished,datetime,✓,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Drugi Email,Secondary_Email,email,,,,Email,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
USER Historia - nazwa,Name,text,,,,Tekst,,,120,,
USER Historia Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
