Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Ad Click Date,Ad_Click_Date,date,,,,Data,,,,,
Adres IP,IP_Address,text,,,,Tekst,,,250,,
Adres URL odwiedzanej strony,Visited_Page_URL,website,,,,URL,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas pracy (w min),Time_Spent,double,,,,double,,,,,
Device type,Device_type,picklist,,,,Lista wyboru,Other; Computers; Mobile devices with full browsers; Tablets with full browsers,,,,
Gclid,Gclid,text,,,,Tekst,,,150,,
Godzina wizyty,Visited_Time,datetime,,,,Data i czas,,,,,
Liczba stron,No_of_Pages,integer,,,,Liczba całkowita,,,,,
Miejsce odwołania,Referrer,website,,,,URL,,,,,
Nazwa grupy reklam,AdGroup_Name,text,,,,Tekst,,,250,,
Nazwa kampanii reklamowej,Ad_Campaign_Name,text,,,,Tekst,,,250,,
Nazwa portalu,Portal_Name,text,,,,Tekst,,,250,,
Odwiedzający,Visited_By,multi_module_lookup,,,,multi_module_lookup,,,,,
Odwiedzona strona,Visited_Page,text,,,,Tekst,,,250,,
Przeglądarka,Browser,picklist,,,,Lista wyboru,Google Chrome; Mozilla Firefox; Microsoft Internet Explorer; Apple Safari; Opera; Others,,,,
Przeprowadził,Attended_By,text,,,,Tekst,,,250,,
Przychód,Revenue,currency,,,,Waluta,,,,,
Reklama,Ad,text,,,,Tekst,,,250,,
Sieć reklam,Ad_Network,picklist,,,,Lista wyboru,Search Network; Display Network,,,,
System operacyjny,Operating_System,picklist,,,,Lista wyboru,Microsoft Windows; Apple Macintosh; Symbian; Sun Solaris; Nokia; Web OS; Blackberry; Motorola; Linux; Apple IPhone; Android; PlayStation; Nintendo; Kindle; Apple IPod,,,,
Szczegóły użytkownika,User_Agent,text,,,,Tekst,,,1000,,
Szukaj w sieci partnera,Search_Partner_Network,picklist,,,,Lista wyboru,Google search; Search partners; Display Network,,,,
Słowo kluczowe,Keyword,text,,,,Tekst,,,250,,
Słowo kluczowe wyszukiwania,Search_Keyword,text,,,,Tekst,,,250,,
Typ kliknięcia,Click_Type,picklist,,,,Lista wyboru,Other; Phone calls; Headline; Product plusbox offer; Sitelink; Product listing ad; Driving direction; Print offer; Breadcrumbs; Manually dialed phone calls; Mobile phone calls; Get location details; unknown,,,,
Typ odwiedzającego,Visitor_Type,text,,,,Tekst,,,250,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Wyszukiwarka,Search_Engine,picklist,,,,Lista wyboru,Google; Yahoo; WebCrawler; Inktomi; Bing; Teoma; Baidu,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Źródło wizyty,Visit_Source,picklist,,,,Lista wyboru,AdWords; Campaign; Direct; Referral; Search Engine; Social Media,,,,
