Nazwa pola (Klucz);Rekord 1;Rekord 2;;
Status wprowadzenia do MAKE;w systemie;w systemie;;
UWAGI;DPA;AMOZ Connect;;
eventName;Dental Practice Academy;AMOZ Connect Warszawa;;
eventId;24311000000651079;24311000000687006;;
md_email_kontakt;eventy@medidesk.com;eventy@medidesk.com;;
md_mobile_kontakt;48729927389;+48 729 927 389;;
md_email_techniczny;adminzoho@medidesk.com;adminzoho@medidesk.com;;
md_mobile_techniczny;48888469553;+48 888 469 553;;
event_location_google_link;https://maps.app.goo.gl/N5grLitECjGQqmj9A;https://maps.app.goo.gl/N5grLitECjGQqmj9A;;
event_location_place;Regent Warsaw Hotel;Regent Warsaw Hotel;;
event_location_address;ul. Belwederska 23;ul. Belwederska 23;;
event_location_zip;00-761;00-761;;
event_location_city;Warszawa;Warszawa;;
event_country;Polska;Polska;;
event_date_time;2026-02-05T09:00:00.000Z;2026-02-06 10:00;;
event_day;6;6;;
event_month_number;2;2;;
event_month_text;luty;luty;;
event_month_text_odmiana;lutego;lutego;;
event_year;2026;2026;;
event_time_text;10:00;10:00;;
event_day_text_1;6 lutego 2026;6 lutego 2026;;
event_day_text_2;;;;
color_gradient_1;#269571;#47005f;;
color_gradient_2;;#1fbde3;;
color_gradient_angle;90;90;;
event_mapa_hotel_link;https://previewengine-accl.zohopublic.eu/image/BACKSTAGE/24311000000674584?cli-msg=eyJpZCI6IjI0MzExMDAwMDAwNjc0NTg0IiwibW9kdWxlIjoiRXZlbnRJbWFnZVJlc291cmNlIiwic3ViUmVzb3VyY2VJZCI6MjAxMDE1NDkyMjIsInR5cGUiOiIwIiwicG9ydGFsSWQiOiIyMDEwMTU0OTIyMiJ9;https://previewengine-accl.zohopublic.eu/image/BACKSTAGE/24311000000674559?cli-msg=eyJpZCI6IjI0MzExMDAwMDAwNjc0NTU5IiwibW9kdWxlIjoiRXZlbnRJbWFnZVJlc291cmNlIiwic3ViUmVzb3VyY2VJZCI6MjAxMDE1NDkyMjIsInR5cGUiOiIwIiwicG9ydGFsSWQiOiIyMDEwMTU0OTIyMiJ9;;
